train_dhns_rotate.py:735: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:736: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=0 | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 851 (5.6733%)
  missing_image_count: 537 (3.5800%)
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 386.504342, DiffHEG loss 127.483182:   0%|          | 0/400 [00:15<?, ?it/s]
Epoch 0 | KGC loss: 386.504342, DiffHEG loss 127.483182:   0%|          | 1/400 [00:15<1:40:12, 15.07s/it]
Epoch 1 | KGC loss: 14.186133, DiffHEG loss 84.074300:   0%|          | 1/400 [00:29<1:40:12, 15.07s/it]  
Epoch 1 | KGC loss: 14.186133, DiffHEG loss 84.074300:   0%|          | 2/400 [00:29<1:38:57, 14.92s/it]
Epoch 2 | KGC loss: 7.824876, DiffHEG loss 81.838269:   0%|          | 2/400 [00:44<1:38:57, 14.92s/it] 
Epoch 2 | KGC loss: 7.824876, DiffHEG loss 81.838269:   1%|          | 3/400 [00:44<1:38:31, 14.89s/it]
Epoch 3 | KGC loss: 5.348766, DiffHEG loss 81.493516:   1%|          | 3/400 [00:59<1:38:31, 14.89s/it]
Epoch 3 | KGC loss: 5.348766, DiffHEG loss 81.493516:   1%|          | 4/400 [00:59<1:38:15, 14.89s/it]
Epoch 4 | KGC loss: 3.993531, DiffHEG loss 81.682936:   1%|          | 4/400 [01:14<1:38:15, 14.89s/it]
Epoch 4 | KGC loss: 3.993531, DiffHEG loss 81.682936:   1%|▏         | 5/400 [01:14<1:37:58, 14.88s/it]
Epoch 5 | KGC loss: 3.414083, DiffHEG loss 81.638546:   1%|▏         | 5/400 [01:29<1:37:58, 14.88s/it]
Epoch 5 | KGC loss: 3.414083, DiffHEG loss 81.638546:   2%|▏         | 6/400 [01:29<1:37:41, 14.88s/it]
Epoch 6 | KGC loss: 2.918313, DiffHEG loss 81.451795:   2%|▏         | 6/400 [01:44<1:37:41, 14.88s/it]
Epoch 6 | KGC loss: 2.918313, DiffHEG loss 81.451795:   2%|▏         | 7/400 [01:44<1:37:26, 14.88s/it]
Epoch 7 | KGC loss: 2.701858, DiffHEG loss 81.500849:   2%|▏         | 7/400 [01:59<1:37:26, 14.88s/it]
Epoch 7 | KGC loss: 2.701858, DiffHEG loss 81.500849:   2%|▏         | 8/400 [01:59<1:37:11, 14.88s/it]
Epoch 8 | KGC loss: 2.448537, DiffHEG loss 81.564414:   2%|▏         | 8/400 [02:13<1:37:11, 14.88s/it]
Epoch 8 | KGC loss: 2.448537, DiffHEG loss 81.564414:   2%|▏         | 9/400 [02:13<1:36:57, 14.88s/it]
Epoch 9 | KGC loss: 2.366424, DiffHEG loss 81.439169:   2%|▏         | 9/400 [02:28<1:36:57, 14.88s/it]
Epoch 9 | KGC loss: 2.366424, DiffHEG loss 81.439169:   2%|▎         | 10/400 [02:28<1:36:46, 14.89s/it]
Epoch 10 | KGC loss: 2.220101, DiffHEG loss 81.471511:   2%|▎         | 10/400 [02:43<1:36:46, 14.89s/it]
Epoch 10 | KGC loss: 2.220101, DiffHEG loss 81.471511:   3%|▎         | 11/400 [02:43<1:36:35, 14.90s/it]
Epoch 11 | KGC loss: 2.199824, DiffHEG loss 81.428966:   3%|▎         | 11/400 [02:58<1:36:35, 14.90s/it]
Epoch 11 | KGC loss: 2.199824, DiffHEG loss 81.428966:   3%|▎         | 12/400 [02:58<1:36:25, 14.91s/it]
Epoch 12 | KGC loss: 2.081673, DiffHEG loss 81.424134:   3%|▎         | 12/400 [03:13<1:36:25, 14.91s/it]
Epoch 12 | KGC loss: 2.081673, DiffHEG loss 81.424134:   3%|▎         | 13/400 [03:13<1:36:09, 14.91s/it]
Epoch 13 | KGC loss: 2.093834, DiffHEG loss 81.432306:   3%|▎         | 13/400 [03:28<1:36:09, 14.91s/it]
Epoch 13 | KGC loss: 2.093834, DiffHEG loss 81.432306:   4%|▎         | 14/400 [03:28<1:35:55, 14.91s/it]
Epoch 14 | KGC loss: 2.007053, DiffHEG loss 81.466014:   4%|▎         | 14/400 [03:43<1:35:55, 14.91s/it]
Epoch 14 | KGC loss: 2.007053, DiffHEG loss 81.466014:   4%|▍         | 15/400 [03:43<1:35:39, 14.91s/it]
Epoch 15 | KGC loss: 2.038695, DiffHEG loss 81.448139:   4%|▍         | 15/400 [03:58<1:35:39, 14.91s/it]
Epoch 15 | KGC loss: 2.038695, DiffHEG loss 81.448139:   4%|▍         | 16/400 [03:58<1:35:28, 14.92s/it]
Epoch 16 | KGC loss: 1.959319, DiffHEG loss 81.516189:   4%|▍         | 16/400 [04:13<1:35:28, 14.92s/it]
Epoch 16 | KGC loss: 1.959319, DiffHEG loss 81.516189:   4%|▍         | 17/400 [04:13<1:35:14, 14.92s/it]
Epoch 17 | KGC loss: 2.000974, DiffHEG loss 81.458254:   4%|▍         | 17/400 [04:28<1:35:14, 14.92s/it]
Epoch 17 | KGC loss: 2.000974, DiffHEG loss 81.458254:   4%|▍         | 18/400 [04:28<1:34:59, 14.92s/it]
Epoch 18 | KGC loss: 1.929897, DiffHEG loss 81.450571:   4%|▍         | 18/400 [04:43<1:34:59, 14.92s/it]
Epoch 18 | KGC loss: 1.929897, DiffHEG loss 81.450571:   5%|▍         | 19/400 [04:43<1:34:44, 14.92s/it]
Epoch 19 | KGC loss: 1.960182, DiffHEG loss 81.439336:   5%|▍         | 19/400 [04:58<1:34:44, 14.92s/it]
Epoch 19 | KGC loss: 1.960182, DiffHEG loss 81.439336:   5%|▌         | 20/400 [04:58<1:34:31, 14.92s/it]
Epoch 20 | KGC loss: 1.902045, DiffHEG loss 81.441814:   5%|▌         | 20/400 [05:13<1:34:31, 14.92s/it]
Epoch 20 | KGC loss: 1.902045, DiffHEG loss 81.441814:   5%|▌         | 21/400 [05:13<1:34:16, 14.92s/it]
