train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/relation_dependent/MKG-W_relation_dependent_text30_seed0.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0021%
  available_text_before_injection: 14149
  additionally_masked_text_entities: 4245
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: f2002027a258b7c437789acaa9bfc1ab0f7809c2b37ff0ab81112fba7b103e16
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 5096 (33.9733%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 379.785761, DiffHEG loss 128.526980:   0%|          | 0/400 [00:15<?, ?it/s]
Epoch 0 | KGC loss: 379.785761, DiffHEG loss 128.526980:   0%|          | 1/400 [00:15<1:42:27, 15.41s/it]
Epoch 1 | KGC loss: 13.209590, DiffHEG loss 84.034674:   0%|          | 1/400 [00:30<1:42:27, 15.41s/it]  
Epoch 1 | KGC loss: 13.209590, DiffHEG loss 84.034674:   0%|          | 2/400 [00:30<1:41:12, 15.26s/it]
Epoch 2 | KGC loss: 7.997338, DiffHEG loss 81.795264:   0%|          | 2/400 [00:45<1:41:12, 15.26s/it] 
Epoch 2 | KGC loss: 7.997338, DiffHEG loss 81.795264:   1%|          | 3/400 [00:45<1:40:34, 15.20s/it]
Epoch 3 | KGC loss: 5.849912, DiffHEG loss 81.481778:   1%|          | 3/400 [01:00<1:40:34, 15.20s/it]
Epoch 3 | KGC loss: 5.849912, DiffHEG loss 81.481778:   1%|          | 4/400 [01:00<1:40:15, 15.19s/it]
Epoch 4 | KGC loss: 4.479170, DiffHEG loss 81.956666:   1%|          | 4/400 [01:16<1:40:15, 15.19s/it]
Epoch 4 | KGC loss: 4.479170, DiffHEG loss 81.956666:   1%|▏         | 5/400 [01:16<1:40:00, 15.19s/it]
Epoch 5 | KGC loss: 3.843473, DiffHEG loss 81.500808:   1%|▏         | 5/400 [01:31<1:40:00, 15.19s/it]
Epoch 5 | KGC loss: 3.843473, DiffHEG loss 81.500808:   2%|▏         | 6/400 [01:31<1:39:45, 15.19s/it]
Epoch 6 | KGC loss: 3.232356, DiffHEG loss 81.801816:   2%|▏         | 6/400 [01:46<1:39:45, 15.19s/it]
Epoch 6 | KGC loss: 3.232356, DiffHEG loss 81.801816:   2%|▏         | 7/400 [01:46<1:39:28, 15.19s/it]
Epoch 7 | KGC loss: 2.944452, DiffHEG loss 81.448036:   2%|▏         | 7/400 [02:01<1:39:28, 15.19s/it]
Epoch 7 | KGC loss: 2.944452, DiffHEG loss 81.448036:   2%|▏         | 8/400 [02:01<1:39:11, 15.18s/it]
Epoch 8 | KGC loss: 2.637193, DiffHEG loss 81.431068:   2%|▏         | 8/400 [02:16<1:39:11, 15.18s/it]
Epoch 8 | KGC loss: 2.637193, DiffHEG loss 81.431068:   2%|▏         | 9/400 [02:16<1:38:56, 15.18s/it]
Epoch 9 | KGC loss: 2.517407, DiffHEG loss 81.429944:   2%|▏         | 9/400 [02:31<1:38:56, 15.18s/it]
Epoch 9 | KGC loss: 2.517407, DiffHEG loss 81.429944:   2%|▎         | 10/400 [02:31<1:38:40, 15.18s/it]
Epoch 10 | KGC loss: 2.330945, DiffHEG loss 81.538623:   2%|▎         | 10/400 [02:47<1:38:40, 15.18s/it]
Epoch 10 | KGC loss: 2.330945, DiffHEG loss 81.538623:   3%|▎         | 11/400 [02:47<1:38:23, 15.18s/it]
Epoch 11 | KGC loss: 2.276258, DiffHEG loss 81.512617:   3%|▎         | 11/400 [03:02<1:38:23, 15.18s/it]
Epoch 11 | KGC loss: 2.276258, DiffHEG loss 81.512617:   3%|▎         | 12/400 [03:02<1:38:10, 15.18s/it]
Epoch 12 | KGC loss: 2.140869, DiffHEG loss 81.437762:   3%|▎         | 12/400 [03:17<1:38:10, 15.18s/it]
Epoch 12 | KGC loss: 2.140869, DiffHEG loss 81.437762:   3%|▎         | 13/400 [03:17<1:37:54, 15.18s/it]
Epoch 13 | KGC loss: 2.126395, DiffHEG loss 81.435205:   3%|▎         | 13/400 [03:32<1:37:54, 15.18s/it]
Epoch 13 | KGC loss: 2.126395, DiffHEG loss 81.435205:   4%|▎         | 14/400 [03:32<1:37:41, 15.18s/it]
Epoch 14 | KGC loss: 2.022353, DiffHEG loss 81.441366:   4%|▎         | 14/400 [03:47<1:37:41, 15.18s/it]
Epoch 14 | KGC loss: 2.022353, DiffHEG loss 81.441366:   4%|▍         | 15/400 [03:47<1:37:27, 15.19s/it]
Epoch 15 | KGC loss: 2.051302, DiffHEG loss 81.443702:   4%|▍         | 15/400 [04:03<1:37:27, 15.19s/it]
Epoch 15 | KGC loss: 2.051302, DiffHEG loss 81.443702:   4%|▍         | 16/400 [04:03<1:37:12, 15.19s/it]
Epoch 16 | KGC loss: 1.954999, DiffHEG loss 81.439847:   4%|▍         | 16/400 [04:18<1:37:12, 15.19s/it]
Epoch 16 | KGC loss: 1.954999, DiffHEG loss 81.439847:   4%|▍         | 17/400 [04:18<1:36:53, 15.18s/it]
Epoch 17 | KGC loss: 1.993720, DiffHEG loss 81.444954:   4%|▍         | 17/400 [04:33<1:36:53, 15.18s/it]
Epoch 17 | KGC loss: 1.993720, DiffHEG loss 81.444954:   4%|▍         | 18/400 [04:33<1:36:34, 15.17s/it]
Epoch 18 | KGC loss: 1.913572, DiffHEG loss 81.454509:   4%|▍         | 18/400 [04:48<1:36:34, 15.17s/it]
Epoch 18 | KGC loss: 1.913572, DiffHEG loss 81.454509:   5%|▍         | 19/400 [04:48<1:36:18, 15.17s/it]
Epoch 19 | KGC loss: 1.926083, DiffHEG loss 81.445384:   5%|▍         | 19/400 [05:03<1:36:18, 15.17s/it]
Epoch 19 | KGC loss: 1.926083, DiffHEG loss 81.445384:   5%|▌         | 20/400 [05:03<1:36:03, 15.17s/it]
Epoch 20 | KGC loss: 1.860569, DiffHEG loss 81.442793:   5%|▌         | 20/400 [05:18<1:36:03, 15.17s/it]
Epoch 20 | KGC loss: 1.860569, DiffHEG loss 81.442793:   5%|▌         | 21/400 [05:18<1:35:48, 15.17s/it]
Epoch 21 | KGC loss: 1.896977, DiffHEG loss 81.449148:   5%|▌         | 21/400 [05:34<1:35:48, 15.17s/it]
Epoch 21 | KGC loss: 1.896977, DiffHEG loss 81.449148:   6%|▌         | 22/400 [05:34<1:35:33, 15.17s/it]
Epoch 22 | KGC loss: 1.839405, DiffHEG loss 81.451139:   6%|▌         | 22/400 [05:49<1:35:33, 15.17s/it]
Epoch 22 | KGC loss: 1.839405, DiffHEG loss 81.451139:   6%|▌         | 23/400 [05:49<1:35:16, 15.16s/it]
Epoch 23 | KGC loss: 1.879515, DiffHEG loss 81.458280:   6%|▌         | 23/400 [06:04<1:35:16, 15.16s/it]
Epoch 23 | KGC loss: 1.879515, DiffHEG loss 81.458280:   6%|▌         | 24/400 [06:04<1:35:01, 15.16s/it]
Epoch 24 | KGC loss: 1.815702, DiffHEG loss 81.449926:   6%|▌         | 24/400 [06:19<1:35:01, 15.16s/it]
Epoch 24 | KGC loss: 1.815702, DiffHEG loss 81.449926:   6%|▋         | 25/400 [06:19<1:34:47, 15.17s/it]
Epoch 25 | KGC loss: 1.861443, DiffHEG loss 81.447166:   6%|▋         | 25/400 [06:34<1:34:47, 15.17s/it]
Epoch 25 | KGC loss: 1.861443, DiffHEG loss 81.447166:   6%|▋         | 26/400 [06:34<1:34:34, 15.17s/it]
Epoch 26 | KGC loss: 1.816703, DiffHEG loss 81.446952:   6%|▋         | 26/400 [06:49<1:34:34, 15.17s/it]
Epoch 26 | KGC loss: 1.816703, DiffHEG loss 81.446952:   7%|▋         | 27/400 [06:49<1:34:18, 15.17s/it]
Epoch 27 | KGC loss: 1.862428, DiffHEG loss 81.445955:   7%|▋         | 27/400 [07:05<1:34:18, 15.17s/it]
Epoch 27 | KGC loss: 1.862428, DiffHEG loss 81.445955:   7%|▋         | 28/400 [07:05<1:34:06, 15.18s/it]
Epoch 28 | KGC loss: 1.805431, DiffHEG loss 81.446083:   7%|▋         | 28/400 [07:20<1:34:06, 15.18s/it]
Epoch 28 | KGC loss: 1.805431, DiffHEG loss 81.446083:   7%|▋         | 29/400 [07:20<1:33:50, 15.18s/it]
Epoch 29 | KGC loss: 1.841767, DiffHEG loss 81.443880:   7%|▋         | 29/400 [07:35<1:33:50, 15.18s/it]
Epoch 29 | KGC loss: 1.841767, DiffHEG loss 81.443880:   8%|▊         | 30/400 [07:35<1:33:35, 15.18s/it]
Epoch 30 | KGC loss: 1.795673, DiffHEG loss 81.424445:   8%|▊         | 30/400 [07:50<1:33:35, 15.18s/it]
Epoch 30 | KGC loss: 1.795673, DiffHEG loss 81.424445:   8%|▊         | 31/400 [07:50<1:33:19, 15.17s/it]
Epoch 31 | KGC loss: 1.843901, DiffHEG loss 81.498763:   8%|▊         | 31/400 [08:05<1:33:19, 15.17s/it]
Epoch 31 | KGC loss: 1.843901, DiffHEG loss 81.498763:   8%|▊         | 32/400 [08:05<1:33:04, 15.17s/it]
Epoch 32 | KGC loss: 1.808678, DiffHEG loss 81.452337:   8%|▊         | 32/400 [08:20<1:33:04, 15.17s/it]
Epoch 32 | KGC loss: 1.808678, DiffHEG loss 81.452337:   8%|▊         | 33/400 [08:20<1:32:48, 15.17s/it]
Epoch 33 | KGC loss: 1.841567, DiffHEG loss 81.409473:   8%|▊         | 33/400 [08:36<1:32:48, 15.17s/it]
Epoch 33 | KGC loss: 1.841567, DiffHEG loss 81.409473:   8%|▊         | 34/400 [08:36<1:32:35, 15.18s/it]
Epoch 34 | KGC loss: 1.800007, DiffHEG loss 81.591641:   8%|▊         | 34/400 [08:51<1:32:35, 15.18s/it]
Epoch 34 | KGC loss: 1.800007, DiffHEG loss 81.591641:   9%|▉         | 35/400 [08:51<1:32:21, 15.18s/it]
Epoch 35 | KGC loss: 1.862308, DiffHEG loss 81.486772:   9%|▉         | 35/400 [09:06<1:32:21, 15.18s/it]
Epoch 35 | KGC loss: 1.862308, DiffHEG loss 81.486772:   9%|▉         | 36/400 [09:06<1:32:06, 15.18s/it]
Epoch 36 | KGC loss: 1.797074, DiffHEG loss 81.442168:   9%|▉         | 36/400 [09:21<1:32:06, 15.18s/it]
Epoch 36 | KGC loss: 1.797074, DiffHEG loss 81.442168:   9%|▉         | 37/400 [09:21<1:31:51, 15.18s/it]
Epoch 37 | KGC loss: 1.811522, DiffHEG loss 81.428874:   9%|▉         | 37/400 [09:36<1:31:51, 15.18s/it]
Epoch 37 | KGC loss: 1.811522, DiffHEG loss 81.428874:  10%|▉         | 38/400 [09:36<1:31:32, 15.17s/it]
