Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=1 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/MKG-Y_low_degree_text30_seed1.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: c913edd722b7eb42d8cdbc248b7c16469a13a91c24ebe3ed19e2d6dd8d9b330b
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]Active modalities | phase=train | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text
Retrieval missing-text debug | phase=NA | role=NA | batch_entity_count=2000 | topk=5 | pool_size=512/8621 | relation_avg_pool=NA | fallback_ratio=0.0000 | agg_mean_norm=1.063918 | source=global_text_pool
Active modalities | phase=train_negative | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text

Epoch 0 | KGC loss: 438.228082, DiffHEG loss 84.728914:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 438.228082, DiffHEG loss 84.728914:   0%|          | 1/400 [00:09<1:06:19,  9.97s/it]
Epoch 1 | KGC loss: 15.546272, DiffHEG loss 56.179014:   0%|          | 1/400 [00:19<1:06:19,  9.97s/it] 
Epoch 1 | KGC loss: 15.546272, DiffHEG loss 56.179014:   0%|          | 2/400 [00:19<1:04:58,  9.80s/it]
Epoch 2 | KGC loss: 6.765926, DiffHEG loss 49.737734:   0%|          | 2/400 [00:29<1:04:58,  9.80s/it] 
Epoch 2 | KGC loss: 6.765926, DiffHEG loss 49.737734:   1%|          | 3/400 [00:29<1:04:25,  9.74s/it]
Epoch 3 | KGC loss: 4.944063, DiffHEG loss 48.396797:   1%|          | 3/400 [00:39<1:04:25,  9.74s/it]
Epoch 3 | KGC loss: 4.944063, DiffHEG loss 48.396797:   1%|          | 4/400 [00:39<1:04:09,  9.72s/it]
Epoch 4 | KGC loss: 3.727147, DiffHEG loss 48.048597:   1%|          | 4/400 [00:48<1:04:09,  9.72s/it]
Epoch 4 | KGC loss: 3.727147, DiffHEG loss 48.048597:   1%|▏         | 5/400 [00:48<1:03:51,  9.70s/it]
Epoch 5 | KGC loss: 2.913010, DiffHEG loss 47.945519:   1%|▏         | 5/400 [00:58<1:03:51,  9.70s/it]
Epoch 5 | KGC loss: 2.913010, DiffHEG loss 47.945519:   2%|▏         | 6/400 [00:58<1:03:38,  9.69s/it]
Epoch 6 | KGC loss: 2.291850, DiffHEG loss 48.713056:   2%|▏         | 6/400 [01:07<1:03:38,  9.69s/it]
Epoch 6 | KGC loss: 2.291850, DiffHEG loss 48.713056:   2%|▏         | 7/400 [01:07<1:03:23,  9.68s/it]
Epoch 7 | KGC loss: 1.843732, DiffHEG loss 48.083243:   2%|▏         | 7/400 [01:17<1:03:23,  9.68s/it]
Epoch 7 | KGC loss: 1.843732, DiffHEG loss 48.083243:   2%|▏         | 8/400 [01:17<1:03:15,  9.68s/it]
Epoch 8 | KGC loss: 1.533336, DiffHEG loss 47.934991:   2%|▏         | 8/400 [01:27<1:03:15,  9.68s/it]
Epoch 8 | KGC loss: 1.533336, DiffHEG loss 47.934991:   2%|▏         | 9/400 [01:27<1:03:08,  9.69s/it]
Epoch 9 | KGC loss: 1.318519, DiffHEG loss 47.899946:   2%|▏         | 9/400 [01:37<1:03:08,  9.69s/it]
Epoch 9 | KGC loss: 1.318519, DiffHEG loss 47.899946:   2%|▎         | 10/400 [01:37<1:02:58,  9.69s/it]
Epoch 10 | KGC loss: 1.142788, DiffHEG loss 47.888862:   2%|▎         | 10/400 [01:46<1:02:58,  9.69s/it]
Epoch 10 | KGC loss: 1.142788, DiffHEG loss 47.888862:   3%|▎         | 11/400 [01:46<1:02:50,  9.69s/it]
Epoch 11 | KGC loss: 1.011778, DiffHEG loss 47.884655:   3%|▎         | 11/400 [01:56<1:02:50,  9.69s/it]
Epoch 11 | KGC loss: 1.011778, DiffHEG loss 47.884655:   3%|▎         | 12/400 [01:56<1:02:43,  9.70s/it]
Epoch 12 | KGC loss: 0.928129, DiffHEG loss 47.883571:   3%|▎         | 12/400 [02:06<1:02:43,  9.70s/it]
Epoch 12 | KGC loss: 0.928129, DiffHEG loss 47.883571:   3%|▎         | 13/400 [02:06<1:02:32,  9.70s/it]
Epoch 13 | KGC loss: 0.834475, DiffHEG loss 47.884619:   3%|▎         | 13/400 [02:15<1:02:32,  9.70s/it]
Epoch 13 | KGC loss: 0.834475, DiffHEG loss 47.884619:   4%|▎         | 14/400 [02:15<1:02:22,  9.69s/it]
Epoch 14 | KGC loss: 0.764504, DiffHEG loss 47.876970:   4%|▎         | 14/400 [02:25<1:02:22,  9.69s/it]
Epoch 14 | KGC loss: 0.764504, DiffHEG loss 47.876970:   4%|▍         | 15/400 [02:25<1:02:12,  9.70s/it]
Epoch 15 | KGC loss: 0.713723, DiffHEG loss 47.883225:   4%|▍         | 15/400 [02:35<1:02:12,  9.70s/it]
Epoch 15 | KGC loss: 0.713723, DiffHEG loss 47.883225:   4%|▍         | 16/400 [02:35<1:02:01,  9.69s/it]
Epoch 16 | KGC loss: 0.673539, DiffHEG loss 47.881490:   4%|▍         | 16/400 [02:44<1:02:01,  9.69s/it]
Epoch 16 | KGC loss: 0.673539, DiffHEG loss 47.881490:   4%|▍         | 17/400 [02:44<1:01:51,  9.69s/it]
Epoch 17 | KGC loss: 0.634799, DiffHEG loss 47.891342:   4%|▍         | 17/400 [02:54<1:01:51,  9.69s/it]
Epoch 17 | KGC loss: 0.634799, DiffHEG loss 47.891342:   4%|▍         | 18/400 [02:54<1:01:42,  9.69s/it]
Epoch 18 | KGC loss: 0.614755, DiffHEG loss 47.889188:   4%|▍         | 18/400 [03:04<1:01:42,  9.69s/it]
Epoch 18 | KGC loss: 0.614755, DiffHEG loss 47.889188:   5%|▍         | 19/400 [03:04<1:01:33,  9.69s/it]
Epoch 19 | KGC loss: 0.589354, DiffHEG loss 47.884664:   5%|▍         | 19/400 [03:14<1:01:33,  9.69s/it]
Epoch 19 | KGC loss: 0.589354, DiffHEG loss 47.884664:   5%|▌         | 20/400 [03:14<1:01:24,  9.70s/it]
Epoch 20 | KGC loss: 0.559715, DiffHEG loss 47.883994:   5%|▌         | 20/400 [03:23<1:01:24,  9.70s/it]
Epoch 20 | KGC loss: 0.559715, DiffHEG loss 47.883994:   5%|▌         | 21/400 [03:23<1:01:14,  9.69s/it]
Epoch 21 | KGC loss: 0.552261, DiffHEG loss 47.883452:   5%|▌         | 21/400 [03:33<1:01:14,  9.69s/it]
Epoch 21 | KGC loss: 0.552261, DiffHEG loss 47.883452:   6%|▌         | 22/400 [03:33<1:01:05,  9.70s/it]
Epoch 22 | KGC loss: 0.531604, DiffHEG loss 47.878957:   6%|▌         | 22/400 [03:43<1:01:05,  9.70s/it]
Epoch 22 | KGC loss: 0.531604, DiffHEG loss 47.878957:   6%|▌         | 23/400 [03:43<1:00:53,  9.69s/it]
Epoch 23 | KGC loss: 0.514790, DiffHEG loss 47.884722:   6%|▌         | 23/400 [03:52<1:00:53,  9.69s/it]
Epoch 23 | KGC loss: 0.514790, DiffHEG loss 47.884722:   6%|▌         | 24/400 [03:52<1:00:43,  9.69s/it]
Epoch 24 | KGC loss: 0.499819, DiffHEG loss 47.890170:   6%|▌         | 24/400 [04:02<1:00:43,  9.69s/it]
Epoch 24 | KGC loss: 0.499819, DiffHEG loss 47.890170:   6%|▋         | 25/400 [04:02<1:00:32,  9.69s/it]
Epoch 25 | KGC loss: 0.489283, DiffHEG loss 47.889235:   6%|▋         | 25/400 [04:12<1:00:32,  9.69s/it]
Epoch 25 | KGC loss: 0.489283, DiffHEG loss 47.889235:   6%|▋         | 26/400 [04:12<1:00:23,  9.69s/it]
Epoch 26 | KGC loss: 0.479493, DiffHEG loss 47.897179:   6%|▋         | 26/400 [04:21<1:00:23,  9.69s/it]
Epoch 26 | KGC loss: 0.479493, DiffHEG loss 47.897179:   7%|▋         | 27/400 [04:21<1:00:13,  9.69s/it]
Epoch 27 | KGC loss: 0.471547, DiffHEG loss 47.889652:   7%|▋         | 27/400 [04:31<1:00:13,  9.69s/it]
Epoch 27 | KGC loss: 0.471547, DiffHEG loss 47.889652:   7%|▋         | 28/400 [04:31<1:00:04,  9.69s/it]
Epoch 28 | KGC loss: 0.461260, DiffHEG loss 47.880855:   7%|▋         | 28/400 [04:41<1:00:04,  9.69s/it]
Epoch 28 | KGC loss: 0.461260, DiffHEG loss 47.880855:   7%|▋         | 29/400 [04:41<59:53,  9.69s/it]  
Epoch 29 | KGC loss: 0.453033, DiffHEG loss 47.902227:   7%|▋         | 29/400 [04:50<59:53,  9.69s/it]
Epoch 29 | KGC loss: 0.453033, DiffHEG loss 47.902227:   8%|▊         | 30/400 [04:50<59:43,  9.68s/it]
Epoch 30 | KGC loss: 0.451858, DiffHEG loss 47.888223:   8%|▊         | 30/400 [05:00<59:43,  9.68s/it]
Epoch 30 | KGC loss: 0.451858, DiffHEG loss 47.888223:   8%|▊         | 31/400 [05:00<59:31,  9.68s/it]
Epoch 31 | KGC loss: 0.447276, DiffHEG loss 47.942887:   8%|▊         | 31/400 [05:10<59:31,  9.68s/it]
Epoch 31 | KGC loss: 0.447276, DiffHEG loss 47.942887:   8%|▊         | 32/400 [05:10<59:22,  9.68s/it]
Epoch 32 | KGC loss: 0.436681, DiffHEG loss 47.894993:   8%|▊         | 32/400 [05:19<59:22,  9.68s/it]
Epoch 32 | KGC loss: 0.436681, DiffHEG loss 47.894993:   8%|▊         | 33/400 [05:19<59:15,  9.69s/it]
Epoch 33 | KGC loss: 0.433221, DiffHEG loss 47.871353:   8%|▊         | 33/400 [05:29<59:15,  9.69s/it]
Epoch 33 | KGC loss: 0.433221, DiffHEG loss 47.871353:   8%|▊         | 34/400 [05:29<59:06,  9.69s/it]
Epoch 34 | KGC loss: 0.430194, DiffHEG loss 47.859797:   8%|▊         | 34/400 [05:39<59:06,  9.69s/it]
Epoch 34 | KGC loss: 0.430194, DiffHEG loss 47.859797:   9%|▉         | 35/400 [05:39<58:55,  9.69s/it]
Epoch 35 | KGC loss: 0.423131, DiffHEG loss 48.010191:   9%|▉         | 35/400 [05:49<58:55,  9.69s/it]
Epoch 35 | KGC loss: 0.423131, DiffHEG loss 48.010191:   9%|▉         | 36/400 [05:49<58:43,  9.68s/it]
Epoch 36 | KGC loss: 0.424271, DiffHEG loss 47.953213:   9%|▉         | 36/400 [05:58<58:43,  9.68s/it]
Epoch 36 | KGC loss: 0.424271, DiffHEG loss 47.953213:   9%|▉         | 37/400 [05:58<58:33,  9.68s/it]
Epoch 37 | KGC loss: 0.424180, DiffHEG loss 47.910148:   9%|▉         | 37/400 [06:08<58:33,  9.68s/it]
Epoch 37 | KGC loss: 0.424180, DiffHEG loss 47.910148:  10%|▉         | 38/400 [06:08<58:23,  9.68s/it]
Epoch 38 | KGC loss: 0.413221, DiffHEG loss 47.903107:  10%|▉         | 38/400 [06:18<58:23,  9.68s/it]
Epoch 38 | KGC loss: 0.413221, DiffHEG loss 47.903107:  10%|▉         | 39/400 [06:18<58:11,  9.67s/it]
Epoch 39 | KGC loss: 0.424122, DiffHEG loss 47.893956:  10%|▉         | 39/400 [06:27<58:11,  9.67s/it]
Epoch 39 | KGC loss: 0.424122, DiffHEG loss 47.893956:  10%|█         | 40/400 [06:27<58:03,  9.68s/it]
Epoch 40 | KGC loss: 0.416381, DiffHEG loss 47.897360:  10%|█         | 40/400 [06:37<58:03,  9.68s/it]
Epoch 40 | KGC loss: 0.416381, DiffHEG loss 47.897360:  10%|█         | 41/400 [06:37<57:53,  9.67s/it]
Epoch 41 | KGC loss: 0.424056, DiffHEG loss 47.900507:  10%|█         | 41/400 [06:47<57:53,  9.67s/it]
Epoch 41 | KGC loss: 0.424056, DiffHEG loss 47.900507:  10%|█         | 42/400 [06:47<57:43,  9.67s/it]
Epoch 42 | KGC loss: 0.415606, DiffHEG loss 47.903697:  10%|█         | 42/400 [06:56<57:43,  9.67s/it]
Epoch 42 | KGC loss: 0.415606, DiffHEG loss 47.903697:  11%|█         | 43/400 [06:56<57:33,  9.67s/it]
Epoch 43 | KGC loss: 0.413365, DiffHEG loss 47.897659:  11%|█         | 43/400 [07:06<57:33,  9.67s/it]
Epoch 43 | KGC loss: 0.413365, DiffHEG loss 47.897659:  11%|█         | 44/400 [07:06<57:24,  9.67s/it]
Epoch 44 | KGC loss: 0.405532, DiffHEG loss 47.906136:  11%|█         | 44/400 [07:16<57:24,  9.67s/it]
Epoch 44 | KGC loss: 0.405532, DiffHEG loss 47.906136:  11%|█▏        | 45/400 [07:16<57:14,  9.67s/it]
Epoch 45 | KGC loss: 0.404768, DiffHEG loss 47.901039:  11%|█▏        | 45/400 [07:25<57:14,  9.67s/it]
Epoch 45 | KGC loss: 0.404768, DiffHEG loss 47.901039:  12%|█▏        | 46/400 [07:25<57:03,  9.67s/it]
Epoch 46 | KGC loss: 0.425796, DiffHEG loss 47.902886:  12%|█▏        | 46/400 [07:35<57:03,  9.67s/it]
Epoch 46 | KGC loss: 0.425796, DiffHEG loss 47.902886:  12%|█▏        | 47/400 [07:35<56:52,  9.67s/it]
Epoch 47 | KGC loss: 0.430933, DiffHEG loss 47.902319:  12%|█▏        | 47/400 [07:45<56:52,  9.67s/it]
Epoch 47 | KGC loss: 0.430933, DiffHEG loss 47.902319:  12%|█▏        | 48/400 [07:45<56:43,  9.67s/it]
Epoch 48 | KGC loss: 0.415146, DiffHEG loss 47.900013:  12%|█▏        | 48/400 [07:54<56:43,  9.67s/it]
Epoch 48 | KGC loss: 0.415146, DiffHEG loss 47.900013:  12%|█▏        | 49/400 [07:54<56:36,  9.68s/it]
