train_dhns_rotate.py:788: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:789: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=0 | ns_strategy=bernoulli | train_sampling_mode=normal | bern_flag=1 | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 851 (5.6733%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing Bernoulli RotatE trainer...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 384.180686:   0%|          | 0/400 [00:03<?, ?it/s]
Epoch 0 | KGC loss: 384.180686:   0%|          | 1/400 [00:03<20:55,  3.15s/it]
Epoch 1 | KGC loss: 13.307871:   0%|          | 1/400 [00:06<20:55,  3.15s/it] 
Epoch 1 | KGC loss: 13.307871:   0%|          | 2/400 [00:06<19:48,  2.99s/it]
Epoch 2 | KGC loss: 7.043004:   0%|          | 2/400 [00:08<19:48,  2.99s/it] 
Epoch 2 | KGC loss: 7.043004:   1%|          | 3/400 [00:08<19:25,  2.94s/it]
Epoch 3 | KGC loss: 4.753817:   1%|          | 3/400 [00:11<19:25,  2.94s/it]
Epoch 3 | KGC loss: 4.753817:   1%|          | 4/400 [00:11<19:12,  2.91s/it]
Epoch 4 | KGC loss: 3.548599:   1%|          | 4/400 [00:14<19:12,  2.91s/it]
Epoch 4 | KGC loss: 3.548599:   1%|▏         | 5/400 [00:14<19:04,  2.90s/it]
Epoch 5 | KGC loss: 2.982991:   1%|▏         | 5/400 [00:17<19:04,  2.90s/it]
Epoch 5 | KGC loss: 2.982991:   2%|▏         | 6/400 [00:17<18:58,  2.89s/it]
Epoch 6 | KGC loss: 2.589263:   2%|▏         | 6/400 [00:20<18:58,  2.89s/it]
Epoch 6 | KGC loss: 2.589263:   2%|▏         | 7/400 [00:20<18:53,  2.88s/it]
Epoch 7 | KGC loss: 2.324447:   2%|▏         | 7/400 [00:23<18:53,  2.88s/it]
Epoch 7 | KGC loss: 2.324447:   2%|▏         | 8/400 [00:23<18:49,  2.88s/it]
Epoch 8 | KGC loss: 2.159351:   2%|▏         | 8/400 [00:26<18:49,  2.88s/it]
Epoch 8 | KGC loss: 2.159351:   2%|▏         | 9/400 [00:26<18:45,  2.88s/it]
Epoch 9 | KGC loss: 2.041020:   2%|▏         | 9/400 [00:29<18:45,  2.88s/it]
Epoch 9 | KGC loss: 2.041020:   2%|▎         | 10/400 [00:29<18:42,  2.88s/it]
Epoch 10 | KGC loss: 1.947771:   2%|▎         | 10/400 [00:31<18:42,  2.88s/it]
Epoch 10 | KGC loss: 1.947771:   3%|▎         | 11/400 [00:31<18:39,  2.88s/it]
Epoch 11 | KGC loss: 1.885448:   3%|▎         | 11/400 [00:34<18:39,  2.88s/it]
Epoch 11 | KGC loss: 1.885448:   3%|▎         | 12/400 [00:34<18:36,  2.88s/it]
Epoch 12 | KGC loss: 1.847979:   3%|▎         | 12/400 [00:37<18:36,  2.88s/it]
Epoch 12 | KGC loss: 1.847979:   3%|▎         | 13/400 [00:37<18:33,  2.88s/it]
Epoch 13 | KGC loss: 1.812673:   3%|▎         | 13/400 [00:40<18:33,  2.88s/it]
Epoch 13 | KGC loss: 1.812673:   4%|▎         | 14/400 [00:40<18:30,  2.88s/it]
Epoch 14 | KGC loss: 1.764909:   4%|▎         | 14/400 [00:43<18:30,  2.88s/it]
Epoch 14 | KGC loss: 1.764909:   4%|▍         | 15/400 [00:43<18:27,  2.88s/it]
Epoch 15 | KGC loss: 1.736309:   4%|▍         | 15/400 [00:46<18:27,  2.88s/it]
Epoch 15 | KGC loss: 1.736309:   4%|▍         | 16/400 [00:46<18:24,  2.88s/it]
Epoch 16 | KGC loss: 1.726454:   4%|▍         | 16/400 [00:49<18:24,  2.88s/it]
Epoch 16 | KGC loss: 1.726454:   4%|▍         | 17/400 [00:49<18:22,  2.88s/it]
Epoch 17 | KGC loss: 1.707969:   4%|▍         | 17/400 [00:52<18:22,  2.88s/it]
Epoch 17 | KGC loss: 1.707969:   4%|▍         | 18/400 [00:52<18:19,  2.88s/it]
Epoch 18 | KGC loss: 1.670647:   4%|▍         | 18/400 [00:54<18:19,  2.88s/it]
Epoch 18 | KGC loss: 1.670647:   5%|▍         | 19/400 [00:54<18:16,  2.88s/it]
Epoch 19 | KGC loss: 1.670426:   5%|▍         | 19/400 [00:57<18:16,  2.88s/it]
Epoch 19 | KGC loss: 1.670426:   5%|▌         | 20/400 [00:57<18:13,  2.88s/it]
Epoch 20 | KGC loss: 1.679496:   5%|▌         | 20/400 [01:00<18:13,  2.88s/it]
Epoch 20 | KGC loss: 1.679496:   5%|▌         | 21/400 [01:00<18:11,  2.88s/it]
Epoch 21 | KGC loss: 1.661930:   5%|▌         | 21/400 [01:03<18:11,  2.88s/it]
Epoch 21 | KGC loss: 1.661930:   6%|▌         | 22/400 [01:03<18:08,  2.88s/it]
Epoch 22 | KGC loss: 1.660953:   6%|▌         | 22/400 [01:06<18:08,  2.88s/it]
Epoch 22 | KGC loss: 1.660953:   6%|▌         | 23/400 [01:06<18:05,  2.88s/it]
Epoch 23 | KGC loss: 1.668989:   6%|▌         | 23/400 [01:09<18:05,  2.88s/it]
Epoch 23 | KGC loss: 1.668989:   6%|▌         | 24/400 [01:09<18:02,  2.88s/it]
Epoch 24 | KGC loss: 1.643447:   6%|▌         | 24/400 [01:12<18:02,  2.88s/it]
Epoch 24 | KGC loss: 1.643447:   6%|▋         | 25/400 [01:12<17:59,  2.88s/it]
Epoch 25 | KGC loss: 1.663308:   6%|▋         | 25/400 [01:15<17:59,  2.88s/it]
Epoch 25 | KGC loss: 1.663308:   6%|▋         | 26/400 [01:15<17:56,  2.88s/it]
Epoch 26 | KGC loss: 1.662693:   6%|▋         | 26/400 [01:17<17:56,  2.88s/it]
Epoch 26 | KGC loss: 1.662693:   7%|▋         | 27/400 [01:17<17:53,  2.88s/it]
Epoch 27 | KGC loss: 1.652460:   7%|▋         | 27/400 [01:20<17:53,  2.88s/it]
Epoch 27 | KGC loss: 1.652460:   7%|▋         | 28/400 [01:20<17:50,  2.88s/it]
Epoch 28 | KGC loss: 1.652107:   7%|▋         | 28/400 [01:23<17:50,  2.88s/it]
Epoch 28 | KGC loss: 1.652107:   7%|▋         | 29/400 [01:23<17:48,  2.88s/it]
Epoch 29 | KGC loss: 1.650578:   7%|▋         | 29/400 [01:26<17:48,  2.88s/it]
Epoch 29 | KGC loss: 1.650578:   8%|▊         | 30/400 [01:26<17:45,  2.88s/it]
Epoch 30 | KGC loss: 1.642637:   8%|▊         | 30/400 [01:29<17:45,  2.88s/it]
Epoch 30 | KGC loss: 1.642637:   8%|▊         | 31/400 [01:29<17:42,  2.88s/it]
Epoch 31 | KGC loss: 1.643251:   8%|▊         | 31/400 [01:32<17:42,  2.88s/it]
Epoch 31 | KGC loss: 1.643251:   8%|▊         | 32/400 [01:32<17:39,  2.88s/it]
Epoch 32 | KGC loss: 1.629444:   8%|▊         | 32/400 [01:35<17:39,  2.88s/it]
Epoch 32 | KGC loss: 1.629444:   8%|▊         | 33/400 [01:35<17:37,  2.88s/it]
Epoch 33 | KGC loss: 1.643930:   8%|▊         | 33/400 [01:38<17:37,  2.88s/it]
Epoch 33 | KGC loss: 1.643930:   8%|▊         | 34/400 [01:38<17:34,  2.88s/it]
Epoch 34 | KGC loss: 1.641604:   8%|▊         | 34/400 [01:40<17:34,  2.88s/it]
Epoch 34 | KGC loss: 1.641604:   9%|▉         | 35/400 [01:40<17:31,  2.88s/it]
Epoch 35 | KGC loss: 1.622326:   9%|▉         | 35/400 [01:43<17:31,  2.88s/it]
Epoch 35 | KGC loss: 1.622326:   9%|▉         | 36/400 [01:43<17:28,  2.88s/it]
Epoch 36 | KGC loss: 1.635631:   9%|▉         | 36/400 [01:46<17:28,  2.88s/it]
Epoch 36 | KGC loss: 1.635631:   9%|▉         | 37/400 [01:46<17:25,  2.88s/it]
Epoch 37 | KGC loss: 1.653197:   9%|▉         | 37/400 [01:49<17:25,  2.88s/it]
Epoch 37 | KGC loss: 1.653197:  10%|▉         | 38/400 [01:49<17:22,  2.88s/it]
