train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=1 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/relation_dependent/MKG-Y_relation_dependent_text30_seed1.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=0.25 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: 0e15753bce8fb92bb366ed4448c014bd6e94eb3f1f62b1b170653a2d1ac24715
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 430.223064, DiffHEG loss 84.277578:   0%|          | 0/400 [00:10<?, ?it/s]
Epoch 0 | KGC loss: 430.223064, DiffHEG loss 84.277578:   0%|          | 1/400 [00:10<1:06:34, 10.01s/it]
Epoch 1 | KGC loss: 13.731495, DiffHEG loss 56.370699:   0%|          | 1/400 [00:19<1:06:34, 10.01s/it] 
Epoch 1 | KGC loss: 13.731495, DiffHEG loss 56.370699:   0%|          | 2/400 [00:19<1:05:14,  9.84s/it]
Epoch 2 | KGC loss: 6.900463, DiffHEG loss 49.978950:   0%|          | 2/400 [00:29<1:05:14,  9.84s/it] 
Epoch 2 | KGC loss: 6.900463, DiffHEG loss 49.978950:   1%|          | 3/400 [00:29<1:04:39,  9.77s/it]
Epoch 3 | KGC loss: 4.970807, DiffHEG loss 48.443359:   1%|          | 3/400 [00:39<1:04:39,  9.77s/it]
Epoch 3 | KGC loss: 4.970807, DiffHEG loss 48.443359:   1%|          | 4/400 [00:39<1:04:14,  9.73s/it]
Epoch 4 | KGC loss: 3.609587, DiffHEG loss 48.073220:   1%|          | 4/400 [00:48<1:04:14,  9.73s/it]
Epoch 4 | KGC loss: 3.609587, DiffHEG loss 48.073220:   1%|▏         | 5/400 [00:48<1:03:58,  9.72s/it]
Epoch 5 | KGC loss: 2.773797, DiffHEG loss 47.947117:   1%|▏         | 5/400 [00:58<1:03:58,  9.72s/it]
Epoch 5 | KGC loss: 2.773797, DiffHEG loss 47.947117:   2%|▏         | 6/400 [00:58<1:03:47,  9.71s/it]
Epoch 6 | KGC loss: 2.188127, DiffHEG loss 48.582566:   2%|▏         | 6/400 [01:08<1:03:47,  9.71s/it]
Epoch 6 | KGC loss: 2.188127, DiffHEG loss 48.582566:   2%|▏         | 7/400 [01:08<1:03:32,  9.70s/it]
Epoch 7 | KGC loss: 1.785182, DiffHEG loss 48.203372:   2%|▏         | 7/400 [01:17<1:03:32,  9.70s/it]
Epoch 7 | KGC loss: 1.785182, DiffHEG loss 48.203372:   2%|▏         | 8/400 [01:17<1:03:19,  9.69s/it]
Epoch 8 | KGC loss: 1.501860, DiffHEG loss 47.972962:   2%|▏         | 8/400 [01:27<1:03:19,  9.69s/it]
Epoch 8 | KGC loss: 1.501860, DiffHEG loss 47.972962:   2%|▏         | 9/400 [01:27<1:03:05,  9.68s/it]
Epoch 9 | KGC loss: 1.304100, DiffHEG loss 47.901949:   2%|▏         | 9/400 [01:37<1:03:05,  9.68s/it]
Epoch 9 | KGC loss: 1.304100, DiffHEG loss 47.901949:   2%|▎         | 10/400 [01:37<1:02:54,  9.68s/it]
Epoch 10 | KGC loss: 1.130947, DiffHEG loss 47.888970:   2%|▎         | 10/400 [01:46<1:02:54,  9.68s/it]
Epoch 10 | KGC loss: 1.130947, DiffHEG loss 47.888970:   3%|▎         | 11/400 [01:46<1:02:44,  9.68s/it]
Epoch 11 | KGC loss: 0.998679, DiffHEG loss 47.883296:   3%|▎         | 11/400 [01:56<1:02:44,  9.68s/it]
Epoch 11 | KGC loss: 0.998679, DiffHEG loss 47.883296:   3%|▎         | 12/400 [01:56<1:02:33,  9.67s/it]
Epoch 12 | KGC loss: 0.912801, DiffHEG loss 47.882608:   3%|▎         | 12/400 [02:06<1:02:33,  9.67s/it]
Epoch 12 | KGC loss: 0.912801, DiffHEG loss 47.882608:   3%|▎         | 13/400 [02:06<1:02:23,  9.67s/it]
Epoch 13 | KGC loss: 0.826486, DiffHEG loss 47.883695:   3%|▎         | 13/400 [02:15<1:02:23,  9.67s/it]
Epoch 13 | KGC loss: 0.826486, DiffHEG loss 47.883695:   4%|▎         | 14/400 [02:15<1:02:13,  9.67s/it]
Epoch 14 | KGC loss: 0.761165, DiffHEG loss 47.875886:   4%|▎         | 14/400 [02:25<1:02:13,  9.67s/it]
Epoch 14 | KGC loss: 0.761165, DiffHEG loss 47.875886:   4%|▍         | 15/400 [02:25<1:02:03,  9.67s/it]
Epoch 15 | KGC loss: 0.711962, DiffHEG loss 47.882917:   4%|▍         | 15/400 [02:35<1:02:03,  9.67s/it]
Epoch 15 | KGC loss: 0.711962, DiffHEG loss 47.882917:   4%|▍         | 16/400 [02:35<1:01:58,  9.68s/it]
Epoch 16 | KGC loss: 0.666371, DiffHEG loss 47.880613:   4%|▍         | 16/400 [02:44<1:01:58,  9.68s/it]
Epoch 16 | KGC loss: 0.666371, DiffHEG loss 47.880613:   4%|▍         | 17/400 [02:44<1:01:49,  9.68s/it]
Epoch 17 | KGC loss: 0.629653, DiffHEG loss 47.889879:   4%|▍         | 17/400 [02:54<1:01:49,  9.68s/it]
Epoch 17 | KGC loss: 0.629653, DiffHEG loss 47.889879:   4%|▍         | 18/400 [02:54<1:01:37,  9.68s/it]
Epoch 18 | KGC loss: 0.606029, DiffHEG loss 47.886807:   4%|▍         | 18/400 [03:04<1:01:37,  9.68s/it]
Epoch 18 | KGC loss: 0.606029, DiffHEG loss 47.886807:   5%|▍         | 19/400 [03:04<1:01:28,  9.68s/it]
Epoch 19 | KGC loss: 0.573462, DiffHEG loss 47.881220:   5%|▍         | 19/400 [03:13<1:01:28,  9.68s/it]
Epoch 19 | KGC loss: 0.573462, DiffHEG loss 47.881220:   5%|▌         | 20/400 [03:13<1:01:18,  9.68s/it]
Epoch 20 | KGC loss: 0.546739, DiffHEG loss 47.880197:   5%|▌         | 20/400 [03:23<1:01:18,  9.68s/it]
Epoch 20 | KGC loss: 0.546739, DiffHEG loss 47.880197:   5%|▌         | 21/400 [03:23<1:01:13,  9.69s/it]
Epoch 21 | KGC loss: 0.534015, DiffHEG loss 47.879301:   5%|▌         | 21/400 [03:33<1:01:13,  9.69s/it]
Epoch 21 | KGC loss: 0.534015, DiffHEG loss 47.879301:   6%|▌         | 22/400 [03:33<1:01:04,  9.69s/it]
Epoch 22 | KGC loss: 0.513523, DiffHEG loss 47.874465:   6%|▌         | 22/400 [03:43<1:01:04,  9.69s/it]
Epoch 22 | KGC loss: 0.513523, DiffHEG loss 47.874465:   6%|▌         | 23/400 [03:43<1:00:52,  9.69s/it]
Epoch 23 | KGC loss: 0.503406, DiffHEG loss 47.876432:   6%|▌         | 23/400 [03:52<1:00:52,  9.69s/it]
Epoch 23 | KGC loss: 0.503406, DiffHEG loss 47.876432:   6%|▌         | 24/400 [03:52<1:00:42,  9.69s/it]
Epoch 24 | KGC loss: 0.484323, DiffHEG loss 47.881305:   6%|▌         | 24/400 [04:02<1:00:42,  9.69s/it]
Epoch 24 | KGC loss: 0.484323, DiffHEG loss 47.881305:   6%|▋         | 25/400 [04:02<1:00:31,  9.68s/it]
Epoch 25 | KGC loss: 0.472575, DiffHEG loss 47.878610:   6%|▋         | 25/400 [04:12<1:00:31,  9.68s/it]
Epoch 25 | KGC loss: 0.472575, DiffHEG loss 47.878610:   6%|▋         | 26/400 [04:12<1:00:21,  9.68s/it]
Epoch 26 | KGC loss: 0.465624, DiffHEG loss 47.908802:   6%|▋         | 26/400 [04:21<1:00:21,  9.68s/it]
Epoch 26 | KGC loss: 0.465624, DiffHEG loss 47.908802:   7%|▋         | 27/400 [04:21<1:00:10,  9.68s/it]
Epoch 27 | KGC loss: 0.451035, DiffHEG loss 47.954738:   7%|▋         | 27/400 [04:31<1:00:10,  9.68s/it]
Epoch 27 | KGC loss: 0.451035, DiffHEG loss 47.954738:   7%|▋         | 28/400 [04:31<1:00:00,  9.68s/it]
Epoch 28 | KGC loss: 0.443983, DiffHEG loss 47.912081:   7%|▋         | 28/400 [04:41<1:00:00,  9.68s/it]
Epoch 28 | KGC loss: 0.443983, DiffHEG loss 47.912081:   7%|▋         | 29/400 [04:41<59:51,  9.68s/it]  
Epoch 29 | KGC loss: 0.434471, DiffHEG loss 47.891613:   7%|▋         | 29/400 [04:50<59:51,  9.68s/it]
Epoch 29 | KGC loss: 0.434471, DiffHEG loss 47.891613:   8%|▊         | 30/400 [04:50<59:39,  9.67s/it]
Epoch 30 | KGC loss: 0.429838, DiffHEG loss 47.867998:   8%|▊         | 30/400 [05:00<59:39,  9.67s/it]
Epoch 30 | KGC loss: 0.429838, DiffHEG loss 47.867998:   8%|▊         | 31/400 [05:00<59:30,  9.68s/it]
Epoch 31 | KGC loss: 0.427093, DiffHEG loss 47.871806:   8%|▊         | 31/400 [05:10<59:30,  9.68s/it]
Epoch 31 | KGC loss: 0.427093, DiffHEG loss 47.871806:   8%|▊         | 32/400 [05:10<59:25,  9.69s/it]
Epoch 32 | KGC loss: 0.418142, DiffHEG loss 47.870975:   8%|▊         | 32/400 [05:19<59:25,  9.69s/it]
Epoch 32 | KGC loss: 0.418142, DiffHEG loss 47.870975:   8%|▊         | 33/400 [05:19<59:15,  9.69s/it]
Epoch 33 | KGC loss: 0.416654, DiffHEG loss 47.865382:   8%|▊         | 33/400 [05:29<59:15,  9.69s/it]
Epoch 33 | KGC loss: 0.416654, DiffHEG loss 47.865382:   8%|▊         | 34/400 [05:29<59:05,  9.69s/it]
Epoch 34 | KGC loss: 0.406492, DiffHEG loss 48.100001:   8%|▊         | 34/400 [05:39<59:05,  9.69s/it]
Epoch 34 | KGC loss: 0.406492, DiffHEG loss 48.100001:   9%|▉         | 35/400 [05:39<58:53,  9.68s/it]
Epoch 35 | KGC loss: 0.404669, DiffHEG loss 47.973635:   9%|▉         | 35/400 [05:48<58:53,  9.68s/it]
Epoch 35 | KGC loss: 0.404669, DiffHEG loss 47.973635:   9%|▉         | 36/400 [05:48<58:43,  9.68s/it]
Epoch 36 | KGC loss: 0.408522, DiffHEG loss 47.923152:   9%|▉         | 36/400 [05:58<58:43,  9.68s/it]
Epoch 36 | KGC loss: 0.408522, DiffHEG loss 47.923152:   9%|▉         | 37/400 [05:58<58:31,  9.67s/it]
Epoch 37 | KGC loss: 0.400090, DiffHEG loss 47.901192:   9%|▉         | 37/400 [06:08<58:31,  9.67s/it]
Epoch 37 | KGC loss: 0.400090, DiffHEG loss 47.901192:  10%|▉         | 38/400 [06:08<58:24,  9.68s/it]
Epoch 38 | KGC loss: 0.402898, DiffHEG loss 47.897571:  10%|▉         | 38/400 [06:17<58:24,  9.68s/it]
