Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/MKG-Y_low_degree_text30_seed0.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=random_text_pool | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: 500e660692f0decd75ba57c71d0d5b31ecfc10b05756832f67ea40ff7ae3417f
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]Active modalities | phase=train | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text
Retrieval missing-text debug | phase=NA | role=NA | batch_entity_count=2000 | topk=5 | pool_size=512/8621 | relation_avg_pool=NA | fallback_ratio=0.0000 | agg_mean_norm=1.048656 | source=global_text_pool
Active modalities | phase=train_negative | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text

Epoch 0 | KGC loss: 270.739550, DiffHEG loss 88.417975:   0%|          | 0/400 [00:10<?, ?it/s]
Epoch 0 | KGC loss: 270.739550, DiffHEG loss 88.417975:   0%|          | 1/400 [00:10<1:06:42, 10.03s/it]
Epoch 1 | KGC loss: 12.850459, DiffHEG loss 59.802791:   0%|          | 1/400 [00:19<1:06:42, 10.03s/it] 
Epoch 1 | KGC loss: 12.850459, DiffHEG loss 59.802791:   0%|          | 2/400 [00:19<1:05:22,  9.86s/it]
Epoch 2 | KGC loss: 6.564675, DiffHEG loss 50.870158:   0%|          | 2/400 [00:29<1:05:22,  9.86s/it] 
Epoch 2 | KGC loss: 6.564675, DiffHEG loss 50.870158:   1%|          | 3/400 [00:29<1:04:54,  9.81s/it]
Epoch 3 | KGC loss: 4.846921, DiffHEG loss 48.590426:   1%|          | 3/400 [00:39<1:04:54,  9.81s/it]
Epoch 3 | KGC loss: 4.846921, DiffHEG loss 48.590426:   1%|          | 4/400 [00:39<1:04:30,  9.78s/it]
Epoch 4 | KGC loss: 3.490997, DiffHEG loss 48.094906:   1%|          | 4/400 [00:48<1:04:30,  9.78s/it]
Epoch 4 | KGC loss: 3.490997, DiffHEG loss 48.094906:   1%|▏         | 5/400 [00:48<1:04:14,  9.76s/it]
Epoch 5 | KGC loss: 2.610507, DiffHEG loss 47.957572:   1%|▏         | 5/400 [00:58<1:04:14,  9.76s/it]
Epoch 5 | KGC loss: 2.610507, DiffHEG loss 47.957572:   2%|▏         | 6/400 [00:58<1:04:02,  9.75s/it]
Epoch 6 | KGC loss: 1.991947, DiffHEG loss 47.908699:   2%|▏         | 6/400 [01:08<1:04:02,  9.75s/it]
Epoch 6 | KGC loss: 1.991947, DiffHEG loss 47.908699:   2%|▏         | 7/400 [01:08<1:03:51,  9.75s/it]
Epoch 7 | KGC loss: 1.583890, DiffHEG loss 47.894414:   2%|▏         | 7/400 [01:18<1:03:51,  9.75s/it]
Epoch 7 | KGC loss: 1.583890, DiffHEG loss 47.894414:   2%|▏         | 8/400 [01:18<1:03:39,  9.74s/it]
Epoch 8 | KGC loss: 1.317773, DiffHEG loss 47.883880:   2%|▏         | 8/400 [01:27<1:03:39,  9.74s/it]
Epoch 8 | KGC loss: 1.317773, DiffHEG loss 47.883880:   2%|▏         | 9/400 [01:27<1:03:28,  9.74s/it]
Epoch 9 | KGC loss: 1.131726, DiffHEG loss 47.882959:   2%|▏         | 9/400 [01:37<1:03:28,  9.74s/it]
Epoch 9 | KGC loss: 1.131726, DiffHEG loss 47.882959:   2%|▎         | 10/400 [01:37<1:03:20,  9.74s/it]
Epoch 10 | KGC loss: 0.985959, DiffHEG loss 47.890495:   2%|▎         | 10/400 [01:47<1:03:20,  9.74s/it]
Epoch 10 | KGC loss: 0.985959, DiffHEG loss 47.890495:   3%|▎         | 11/400 [01:47<1:03:10,  9.74s/it]
Epoch 11 | KGC loss: 0.869215, DiffHEG loss 47.881396:   3%|▎         | 11/400 [01:57<1:03:10,  9.74s/it]
Epoch 11 | KGC loss: 0.869215, DiffHEG loss 47.881396:   3%|▎         | 12/400 [01:57<1:03:00,  9.74s/it]
Epoch 12 | KGC loss: 0.806632, DiffHEG loss 47.885451:   3%|▎         | 12/400 [02:06<1:03:00,  9.74s/it]
Epoch 12 | KGC loss: 0.806632, DiffHEG loss 47.885451:   3%|▎         | 13/400 [02:06<1:02:54,  9.75s/it]
Epoch 13 | KGC loss: 0.725616, DiffHEG loss 47.892940:   3%|▎         | 13/400 [02:16<1:02:54,  9.75s/it]
Epoch 13 | KGC loss: 0.725616, DiffHEG loss 47.892940:   4%|▎         | 14/400 [02:16<1:02:42,  9.75s/it]
Epoch 14 | KGC loss: 0.669698, DiffHEG loss 47.886467:   4%|▎         | 14/400 [02:26<1:02:42,  9.75s/it]
Epoch 14 | KGC loss: 0.669698, DiffHEG loss 47.886467:   4%|▍         | 15/400 [02:26<1:02:31,  9.74s/it]
Epoch 15 | KGC loss: 0.625843, DiffHEG loss 47.884250:   4%|▍         | 15/400 [02:36<1:02:31,  9.74s/it]
Epoch 15 | KGC loss: 0.625843, DiffHEG loss 47.884250:   4%|▍         | 16/400 [02:36<1:02:20,  9.74s/it]
Epoch 16 | KGC loss: 0.590170, DiffHEG loss 47.890181:   4%|▍         | 16/400 [02:45<1:02:20,  9.74s/it]
Epoch 16 | KGC loss: 0.590170, DiffHEG loss 47.890181:   4%|▍         | 17/400 [02:45<1:02:10,  9.74s/it]
Epoch 17 | KGC loss: 0.560414, DiffHEG loss 47.885217:   4%|▍         | 17/400 [02:55<1:02:10,  9.74s/it]
Epoch 17 | KGC loss: 0.560414, DiffHEG loss 47.885217:   4%|▍         | 18/400 [02:55<1:02:00,  9.74s/it]
Epoch 18 | KGC loss: 0.544504, DiffHEG loss 47.882100:   4%|▍         | 18/400 [03:05<1:02:00,  9.74s/it]
Epoch 18 | KGC loss: 0.544504, DiffHEG loss 47.882100:   5%|▍         | 19/400 [03:05<1:01:51,  9.74s/it]
Epoch 19 | KGC loss: 0.517039, DiffHEG loss 47.888026:   5%|▍         | 19/400 [03:15<1:01:51,  9.74s/it]
Epoch 19 | KGC loss: 0.517039, DiffHEG loss 47.888026:   5%|▌         | 20/400 [03:15<1:01:40,  9.74s/it]
Epoch 20 | KGC loss: 0.494579, DiffHEG loss 47.888272:   5%|▌         | 20/400 [03:24<1:01:40,  9.74s/it]
Epoch 20 | KGC loss: 0.494579, DiffHEG loss 47.888272:   5%|▌         | 21/400 [03:24<1:01:31,  9.74s/it]
Epoch 21 | KGC loss: 0.489147, DiffHEG loss 47.886566:   5%|▌         | 21/400 [03:34<1:01:31,  9.74s/it]
Epoch 21 | KGC loss: 0.489147, DiffHEG loss 47.886566:   6%|▌         | 22/400 [03:34<1:01:21,  9.74s/it]
Epoch 22 | KGC loss: 0.471493, DiffHEG loss 47.893251:   6%|▌         | 22/400 [03:44<1:01:21,  9.74s/it]
Epoch 22 | KGC loss: 0.471493, DiffHEG loss 47.893251:   6%|▌         | 23/400 [03:44<1:01:13,  9.75s/it]
Epoch 23 | KGC loss: 0.460901, DiffHEG loss 47.891959:   6%|▌         | 23/400 [03:54<1:01:13,  9.75s/it]
Epoch 23 | KGC loss: 0.460901, DiffHEG loss 47.891959:   6%|▌         | 24/400 [03:54<1:01:02,  9.74s/it]
Epoch 24 | KGC loss: 0.448100, DiffHEG loss 47.895501:   6%|▌         | 24/400 [04:03<1:01:02,  9.74s/it]
Epoch 24 | KGC loss: 0.448100, DiffHEG loss 47.895501:   6%|▋         | 25/400 [04:03<1:00:51,  9.74s/it]
Epoch 25 | KGC loss: 0.440246, DiffHEG loss 47.900780:   6%|▋         | 25/400 [04:13<1:00:51,  9.74s/it]
Epoch 25 | KGC loss: 0.440246, DiffHEG loss 47.900780:   6%|▋         | 26/400 [04:13<1:00:42,  9.74s/it]
Epoch 26 | KGC loss: 0.435720, DiffHEG loss 47.898213:   6%|▋         | 26/400 [04:23<1:00:42,  9.74s/it]
Epoch 26 | KGC loss: 0.435720, DiffHEG loss 47.898213:   7%|▋         | 27/400 [04:23<1:00:32,  9.74s/it]
Epoch 27 | KGC loss: 0.423395, DiffHEG loss 47.891627:   7%|▋         | 27/400 [04:33<1:00:32,  9.74s/it]
Epoch 27 | KGC loss: 0.423395, DiffHEG loss 47.891627:   7%|▋         | 28/400 [04:33<1:00:26,  9.75s/it]
Epoch 28 | KGC loss: 0.419244, DiffHEG loss 47.894404:   7%|▋         | 28/400 [04:42<1:00:26,  9.75s/it]
Epoch 28 | KGC loss: 0.419244, DiffHEG loss 47.894404:   7%|▋         | 29/400 [04:42<1:00:14,  9.74s/it]
Epoch 29 | KGC loss: 0.410294, DiffHEG loss 47.918962:   7%|▋         | 29/400 [04:52<1:00:14,  9.74s/it]
Epoch 29 | KGC loss: 0.410294, DiffHEG loss 47.918962:   8%|▊         | 30/400 [04:52<1:00:03,  9.74s/it]
Epoch 30 | KGC loss: 0.408390, DiffHEG loss 47.907300:   8%|▊         | 30/400 [05:02<1:00:03,  9.74s/it]
Epoch 30 | KGC loss: 0.408390, DiffHEG loss 47.907300:   8%|▊         | 31/400 [05:02<59:53,  9.74s/it]  
Epoch 31 | KGC loss: 0.404677, DiffHEG loss 47.905110:   8%|▊         | 31/400 [05:11<59:53,  9.74s/it]
Epoch 31 | KGC loss: 0.404677, DiffHEG loss 47.905110:   8%|▊         | 32/400 [05:11<59:42,  9.74s/it]
Epoch 32 | KGC loss: 0.396403, DiffHEG loss 47.896979:   8%|▊         | 32/400 [05:21<59:42,  9.74s/it]
Epoch 32 | KGC loss: 0.396403, DiffHEG loss 47.896979:   8%|▊         | 33/400 [05:21<59:31,  9.73s/it]
Epoch 33 | KGC loss: 0.395694, DiffHEG loss 47.898358:   8%|▊         | 33/400 [05:31<59:31,  9.73s/it]
Epoch 33 | KGC loss: 0.395694, DiffHEG loss 47.898358:   8%|▊         | 34/400 [05:31<59:22,  9.73s/it]
Epoch 34 | KGC loss: 0.391198, DiffHEG loss 47.899259:   8%|▊         | 34/400 [05:41<59:22,  9.73s/it]
Epoch 34 | KGC loss: 0.391198, DiffHEG loss 47.899259:   9%|▉         | 35/400 [05:41<59:12,  9.73s/it]
Epoch 35 | KGC loss: 0.385533, DiffHEG loss 47.900531:   9%|▉         | 35/400 [05:50<59:12,  9.73s/it]
Epoch 35 | KGC loss: 0.385533, DiffHEG loss 47.900531:   9%|▉         | 36/400 [05:50<59:02,  9.73s/it]
Epoch 36 | KGC loss: 0.388721, DiffHEG loss 47.894277:   9%|▉         | 36/400 [06:00<59:02,  9.73s/it]
Epoch 36 | KGC loss: 0.388721, DiffHEG loss 47.894277:   9%|▉         | 37/400 [06:00<58:54,  9.74s/it]
Epoch 37 | KGC loss: 0.383464, DiffHEG loss 47.895349:   9%|▉         | 37/400 [06:10<58:54,  9.74s/it]
Epoch 37 | KGC loss: 0.383464, DiffHEG loss 47.895349:  10%|▉         | 38/400 [06:10<58:44,  9.74s/it]
Epoch 38 | KGC loss: 0.378608, DiffHEG loss 47.897544:  10%|▉         | 38/400 [06:20<58:44,  9.74s/it]
Epoch 38 | KGC loss: 0.378608, DiffHEG loss 47.897544:  10%|▉         | 39/400 [06:20<58:38,  9.75s/it]
Epoch 39 | KGC loss: 0.379353, DiffHEG loss 47.896328:  10%|▉         | 39/400 [06:29<58:38,  9.75s/it]
Epoch 39 | KGC loss: 0.379353, DiffHEG loss 47.896328:  10%|█         | 40/400 [06:29<58:29,  9.75s/it]
Epoch 40 | KGC loss: 0.397747, DiffHEG loss 47.897834:  10%|█         | 40/400 [06:39<58:29,  9.75s/it]
Epoch 40 | KGC loss: 0.397747, DiffHEG loss 47.897834:  10%|█         | 41/400 [06:39<58:17,  9.74s/it]
Epoch 41 | KGC loss: 0.396149, DiffHEG loss 47.891458:  10%|█         | 41/400 [06:49<58:17,  9.74s/it]
Epoch 41 | KGC loss: 0.396149, DiffHEG loss 47.891458:  10%|█         | 42/400 [06:49<58:08,  9.75s/it]
Epoch 42 | KGC loss: 0.392628, DiffHEG loss 47.901294:  10%|█         | 42/400 [06:59<58:08,  9.75s/it]
Epoch 42 | KGC loss: 0.392628, DiffHEG loss 47.901294:  11%|█         | 43/400 [06:59<57:57,  9.74s/it]
Epoch 43 | KGC loss: 0.388677, DiffHEG loss 47.892844:  11%|█         | 43/400 [07:08<57:57,  9.74s/it]
Epoch 43 | KGC loss: 0.388677, DiffHEG loss 47.892844:  11%|█         | 44/400 [07:08<57:47,  9.74s/it]
Epoch 44 | KGC loss: 0.376107, DiffHEG loss 47.892113:  11%|█         | 44/400 [07:18<57:47,  9.74s/it]
Epoch 44 | KGC loss: 0.376107, DiffHEG loss 47.892113:  11%|█▏        | 45/400 [07:18<57:43,  9.76s/it]
Epoch 45 | KGC loss: 0.375615, DiffHEG loss 47.904203:  11%|█▏        | 45/400 [07:28<57:43,  9.76s/it]
Epoch 45 | KGC loss: 0.375615, DiffHEG loss 47.904203:  12%|█▏        | 46/400 [07:28<57:33,  9.76s/it]
Epoch 46 | KGC loss: 0.373837, DiffHEG loss 47.891638:  12%|█▏        | 46/400 [07:38<57:33,  9.76s/it]
Epoch 46 | KGC loss: 0.373837, DiffHEG loss 47.891638:  12%|█▏        | 47/400 [07:38<57:23,  9.75s/it]
Epoch 47 | KGC loss: 0.375940, DiffHEG loss 47.898669:  12%|█▏        | 47/400 [07:47<57:23,  9.75s/it]
Epoch 47 | KGC loss: 0.375940, DiffHEG loss 47.898669:  12%|█▏        | 48/400 [07:47<57:13,  9.75s/it]
Epoch 48 | KGC loss: 0.382065, DiffHEG loss 47.887924:  12%|█▏        | 48/400 [07:57<57:13,  9.75s/it]
Epoch 48 | KGC loss: 0.382065, DiffHEG loss 47.887924:  12%|█▏        | 49/400 [07:57<57:06,  9.76s/it]
