Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=2 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=low_degree | text_missing_mask_path=None | save_text_missing_mask_path=masks/MKG-Y_low_degree_text30_seed2.pt | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: low_degree
  mask_source: generated
  mask_checksum_sha256: db45462ffcb79e45f0cd6d726e223d8765a516db14262f9e3e4d286981497287
  saved_mask_path: /home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed2.pt
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]Active modalities | phase=train | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text
Active modalities | phase=train_negative | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text

Epoch 0 | KGC loss: 327.971285, DiffHEG loss 101.660517:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 327.971285, DiffHEG loss 101.660517:   0%|          | 1/400 [00:09<1:01:03,  9.18s/it]
Epoch 1 | KGC loss: 13.408664, DiffHEG loss 57.992160:   0%|          | 1/400 [00:18<1:01:03,  9.18s/it]  
Epoch 1 | KGC loss: 13.408664, DiffHEG loss 57.992160:   0%|          | 2/400 [00:18<59:55,  9.03s/it]  
Epoch 2 | KGC loss: 6.741056, DiffHEG loss 50.553126:   0%|          | 2/400 [00:27<59:55,  9.03s/it] 
Epoch 2 | KGC loss: 6.741056, DiffHEG loss 50.553126:   1%|          | 3/400 [00:27<59:29,  8.99s/it]
Epoch 3 | KGC loss: 4.745404, DiffHEG loss 49.295671:   1%|          | 3/400 [00:35<59:29,  8.99s/it]
Epoch 3 | KGC loss: 4.745404, DiffHEG loss 49.295671:   1%|          | 4/400 [00:35<59:10,  8.97s/it]
Epoch 4 | KGC loss: 3.439767, DiffHEG loss 48.351529:   1%|          | 4/400 [00:44<59:10,  8.97s/it]
Epoch 4 | KGC loss: 3.439767, DiffHEG loss 48.351529:   1%|▏         | 5/400 [00:44<58:57,  8.96s/it]
Epoch 5 | KGC loss: 2.612002, DiffHEG loss 48.045004:   1%|▏         | 5/400 [00:53<58:57,  8.96s/it]
Epoch 5 | KGC loss: 2.612002, DiffHEG loss 48.045004:   2%|▏         | 6/400 [00:53<58:46,  8.95s/it]
Epoch 6 | KGC loss: 2.039530, DiffHEG loss 47.940078:   2%|▏         | 6/400 [01:02<58:46,  8.95s/it]
Epoch 6 | KGC loss: 2.039530, DiffHEG loss 47.940078:   2%|▏         | 7/400 [01:02<58:34,  8.94s/it]
Epoch 7 | KGC loss: 1.639573, DiffHEG loss 47.912060:   2%|▏         | 7/400 [01:11<58:34,  8.94s/it]
Epoch 7 | KGC loss: 1.639573, DiffHEG loss 47.912060:   2%|▏         | 8/400 [01:11<58:23,  8.94s/it]
Epoch 8 | KGC loss: 1.369681, DiffHEG loss 47.894335:   2%|▏         | 8/400 [01:20<58:23,  8.94s/it]
Epoch 8 | KGC loss: 1.369681, DiffHEG loss 47.894335:   2%|▏         | 9/400 [01:20<58:14,  8.94s/it]
Epoch 9 | KGC loss: 1.181848, DiffHEG loss 47.881155:   2%|▏         | 9/400 [01:29<58:14,  8.94s/it]
Epoch 9 | KGC loss: 1.181848, DiffHEG loss 47.881155:   2%|▎         | 10/400 [01:29<58:03,  8.93s/it]
Epoch 10 | KGC loss: 1.032138, DiffHEG loss 47.885609:   2%|▎         | 10/400 [01:38<58:03,  8.93s/it]
Epoch 10 | KGC loss: 1.032138, DiffHEG loss 47.885609:   3%|▎         | 11/400 [01:38<57:52,  8.93s/it]
Epoch 11 | KGC loss: 0.917883, DiffHEG loss 47.889068:   3%|▎         | 11/400 [01:47<57:52,  8.93s/it]
Epoch 11 | KGC loss: 0.917883, DiffHEG loss 47.889068:   3%|▎         | 12/400 [01:47<57:43,  8.93s/it]
Epoch 12 | KGC loss: 0.843841, DiffHEG loss 48.356873:   3%|▎         | 12/400 [01:56<57:43,  8.93s/it]
Epoch 12 | KGC loss: 0.843841, DiffHEG loss 48.356873:   3%|▎         | 13/400 [01:56<57:37,  8.93s/it]
Epoch 13 | KGC loss: 0.765789, DiffHEG loss 47.997105:   3%|▎         | 13/400 [02:05<57:37,  8.93s/it]
Epoch 13 | KGC loss: 0.765789, DiffHEG loss 47.997105:   4%|▎         | 14/400 [02:05<57:28,  8.93s/it]
Epoch 14 | KGC loss: 0.704025, DiffHEG loss 47.920119:   4%|▎         | 14/400 [02:14<57:28,  8.93s/it]
Epoch 14 | KGC loss: 0.704025, DiffHEG loss 47.920119:   4%|▍         | 15/400 [02:14<57:21,  8.94s/it]
Epoch 15 | KGC loss: 0.657682, DiffHEG loss 47.908292:   4%|▍         | 15/400 [02:23<57:21,  8.94s/it]
Epoch 15 | KGC loss: 0.657682, DiffHEG loss 47.908292:   4%|▍         | 16/400 [02:23<57:13,  8.94s/it]
Epoch 16 | KGC loss: 0.621168, DiffHEG loss 47.892688:   4%|▍         | 16/400 [02:32<57:13,  8.94s/it]
Epoch 16 | KGC loss: 0.621168, DiffHEG loss 47.892688:   4%|▍         | 17/400 [02:32<57:02,  8.94s/it]
Epoch 17 | KGC loss: 0.590078, DiffHEG loss 47.893003:   4%|▍         | 17/400 [02:41<57:02,  8.94s/it]
Epoch 17 | KGC loss: 0.590078, DiffHEG loss 47.893003:   4%|▍         | 18/400 [02:41<56:54,  8.94s/it]
Epoch 18 | KGC loss: 0.572776, DiffHEG loss 47.992347:   4%|▍         | 18/400 [02:49<56:54,  8.94s/it]
Epoch 18 | KGC loss: 0.572776, DiffHEG loss 47.992347:   5%|▍         | 19/400 [02:49<56:44,  8.94s/it]
Epoch 19 | KGC loss: 0.542190, DiffHEG loss 47.997838:   5%|▍         | 19/400 [02:58<56:44,  8.94s/it]
Epoch 19 | KGC loss: 0.542190, DiffHEG loss 47.997838:   5%|▌         | 20/400 [02:58<56:34,  8.93s/it]
Epoch 20 | KGC loss: 0.519077, DiffHEG loss 47.915344:   5%|▌         | 20/400 [03:07<56:34,  8.93s/it]
Epoch 20 | KGC loss: 0.519077, DiffHEG loss 47.915344:   5%|▌         | 21/400 [03:07<56:25,  8.93s/it]
Epoch 21 | KGC loss: 0.512580, DiffHEG loss 47.897970:   5%|▌         | 21/400 [03:16<56:25,  8.93s/it]
Epoch 21 | KGC loss: 0.512580, DiffHEG loss 47.897970:   6%|▌         | 22/400 [03:16<56:15,  8.93s/it]
Epoch 22 | KGC loss: 0.492926, DiffHEG loss 47.889611:   6%|▌         | 22/400 [03:25<56:15,  8.93s/it]
Epoch 22 | KGC loss: 0.492926, DiffHEG loss 47.889611:   6%|▌         | 23/400 [03:25<56:07,  8.93s/it]
Epoch 23 | KGC loss: 0.480461, DiffHEG loss 47.890300:   6%|▌         | 23/400 [03:34<56:07,  8.93s/it]
Epoch 23 | KGC loss: 0.480461, DiffHEG loss 47.890300:   6%|▌         | 24/400 [03:34<55:58,  8.93s/it]
Epoch 24 | KGC loss: 0.465452, DiffHEG loss 47.892856:   6%|▌         | 24/400 [03:43<55:58,  8.93s/it]
Epoch 24 | KGC loss: 0.465452, DiffHEG loss 47.892856:   6%|▋         | 25/400 [03:43<55:48,  8.93s/it]
Epoch 25 | KGC loss: 0.455635, DiffHEG loss 47.901875:   6%|▋         | 25/400 [03:52<55:48,  8.93s/it]
Epoch 25 | KGC loss: 0.455635, DiffHEG loss 47.901875:   6%|▋         | 26/400 [03:52<55:39,  8.93s/it]
Epoch 26 | KGC loss: 0.448317, DiffHEG loss 47.898540:   6%|▋         | 26/400 [04:01<55:39,  8.93s/it]
Epoch 26 | KGC loss: 0.448317, DiffHEG loss 47.898540:   7%|▋         | 27/400 [04:01<55:31,  8.93s/it]
Epoch 27 | KGC loss: 0.436499, DiffHEG loss 47.895370:   7%|▋         | 27/400 [04:10<55:31,  8.93s/it]
Epoch 27 | KGC loss: 0.436499, DiffHEG loss 47.895370:   7%|▋         | 28/400 [04:10<55:22,  8.93s/it]
Epoch 28 | KGC loss: 0.431532, DiffHEG loss 47.889610:   7%|▋         | 28/400 [04:19<55:22,  8.93s/it]
Epoch 28 | KGC loss: 0.431532, DiffHEG loss 47.889610:   7%|▋         | 29/400 [04:19<55:15,  8.94s/it]
Epoch 29 | KGC loss: 0.421738, DiffHEG loss 47.891314:   7%|▋         | 29/400 [04:28<55:15,  8.94s/it]
Epoch 29 | KGC loss: 0.421738, DiffHEG loss 47.891314:   8%|▊         | 30/400 [04:28<55:07,  8.94s/it]
Epoch 30 | KGC loss: 0.418301, DiffHEG loss 47.898937:   8%|▊         | 30/400 [04:37<55:07,  8.94s/it]
Epoch 30 | KGC loss: 0.418301, DiffHEG loss 47.898937:   8%|▊         | 31/400 [04:37<55:02,  8.95s/it]
Epoch 31 | KGC loss: 0.415553, DiffHEG loss 47.894783:   8%|▊         | 31/400 [04:46<55:02,  8.95s/it]
Epoch 31 | KGC loss: 0.415553, DiffHEG loss 47.894783:   8%|▊         | 32/400 [04:46<54:54,  8.95s/it]
Epoch 32 | KGC loss: 0.405730, DiffHEG loss 47.894624:   8%|▊         | 32/400 [04:55<54:54,  8.95s/it]
Epoch 32 | KGC loss: 0.405730, DiffHEG loss 47.894624:   8%|▊         | 33/400 [04:55<54:44,  8.95s/it]
Epoch 33 | KGC loss: 0.403392, DiffHEG loss 47.897051:   8%|▊         | 33/400 [05:04<54:44,  8.95s/it]
Epoch 33 | KGC loss: 0.403392, DiffHEG loss 47.897051:   8%|▊         | 34/400 [05:04<54:35,  8.95s/it]
Epoch 34 | KGC loss: 0.400521, DiffHEG loss 47.895375:   8%|▊         | 34/400 [05:13<54:35,  8.95s/it]
Epoch 34 | KGC loss: 0.400521, DiffHEG loss 47.895375:   9%|▉         | 35/400 [05:13<54:25,  8.95s/it]
Epoch 35 | KGC loss: 0.395922, DiffHEG loss 47.896234:   9%|▉         | 35/400 [05:21<54:25,  8.95s/it]
Epoch 35 | KGC loss: 0.395922, DiffHEG loss 47.896234:   9%|▉         | 36/400 [05:21<54:14,  8.94s/it]
Epoch 36 | KGC loss: 0.397455, DiffHEG loss 47.894238:   9%|▉         | 36/400 [05:30<54:14,  8.94s/it]
Epoch 36 | KGC loss: 0.397455, DiffHEG loss 47.894238:   9%|▉         | 37/400 [05:30<54:07,  8.95s/it]
Epoch 37 | KGC loss: 0.389490, DiffHEG loss 47.898470:   9%|▉         | 37/400 [05:39<54:07,  8.95s/it]
Epoch 37 | KGC loss: 0.389490, DiffHEG loss 47.898470:  10%|▉         | 38/400 [05:39<53:59,  8.95s/it]
Epoch 38 | KGC loss: 0.389918, DiffHEG loss 47.895146:  10%|▉         | 38/400 [05:48<53:59,  8.95s/it]
Epoch 38 | KGC loss: 0.389918, DiffHEG loss 47.895146:  10%|▉         | 39/400 [05:48<53:48,  8.94s/it]
Epoch 39 | KGC loss: 0.395821, DiffHEG loss 47.934341:  10%|▉         | 39/400 [05:57<53:48,  8.94s/it]
Epoch 39 | KGC loss: 0.395821, DiffHEG loss 47.934341:  10%|█         | 40/400 [05:57<53:40,  8.95s/it]
Epoch 40 | KGC loss: 0.400871, DiffHEG loss 47.955324:  10%|█         | 40/400 [06:06<53:40,  8.95s/it]
Epoch 40 | KGC loss: 0.400871, DiffHEG loss 47.955324:  10%|█         | 41/400 [06:06<53:32,  8.95s/it]
Epoch 41 | KGC loss: 0.411335, DiffHEG loss 47.903397:  10%|█         | 41/400 [06:15<53:32,  8.95s/it]
Epoch 41 | KGC loss: 0.411335, DiffHEG loss 47.903397:  10%|█         | 42/400 [06:15<53:24,  8.95s/it]
Epoch 42 | KGC loss: 0.405524, DiffHEG loss 47.908097:  10%|█         | 42/400 [06:24<53:24,  8.95s/it]
Epoch 42 | KGC loss: 0.405524, DiffHEG loss 47.908097:  11%|█         | 43/400 [06:24<53:15,  8.95s/it]
Epoch 43 | KGC loss: 0.390194, DiffHEG loss 47.939260:  11%|█         | 43/400 [06:33<53:15,  8.95s/it]
Epoch 43 | KGC loss: 0.390194, DiffHEG loss 47.939260:  11%|█         | 44/400 [06:33<53:07,  8.95s/it]
Epoch 44 | KGC loss: 0.389333, DiffHEG loss 47.919661:  11%|█         | 44/400 [06:42<53:07,  8.95s/it]
Epoch 44 | KGC loss: 0.389333, DiffHEG loss 47.919661:  11%|█▏        | 45/400 [06:42<52:56,  8.95s/it]
