Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/MKG-Y_low_degree_text30_seed0.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: 500e660692f0decd75ba57c71d0d5b31ecfc10b05756832f67ea40ff7ae3417f
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]Active modalities | phase=train | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text
Retrieval missing-text debug | phase=NA | role=NA | batch_entity_count=2000 | topk=5 | pool_size=512/8621 | relation_avg_pool=NA | fallback_ratio=0.0000 | agg_mean_norm=1.048744 | source=global_text_pool
Active modalities | phase=train_negative | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text

Epoch 0 | KGC loss: 270.796103, DiffHEG loss 88.418327:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 270.796103, DiffHEG loss 88.418327:   0%|          | 1/400 [00:09<1:05:53,  9.91s/it]
Epoch 1 | KGC loss: 12.597918, DiffHEG loss 59.795774:   0%|          | 1/400 [00:19<1:05:53,  9.91s/it] 
Epoch 1 | KGC loss: 12.597918, DiffHEG loss 59.795774:   0%|          | 2/400 [00:19<1:04:37,  9.74s/it]
Epoch 2 | KGC loss: 6.187500, DiffHEG loss 50.871214:   0%|          | 2/400 [00:29<1:04:37,  9.74s/it] 
Epoch 2 | KGC loss: 6.187500, DiffHEG loss 50.871214:   1%|          | 3/400 [00:29<1:04:06,  9.69s/it]
Epoch 3 | KGC loss: 4.669993, DiffHEG loss 48.590492:   1%|          | 3/400 [00:38<1:04:06,  9.69s/it]
Epoch 3 | KGC loss: 4.669993, DiffHEG loss 48.590492:   1%|          | 4/400 [00:38<1:03:51,  9.68s/it]
Epoch 4 | KGC loss: 3.499366, DiffHEG loss 48.094749:   1%|          | 4/400 [00:48<1:03:51,  9.68s/it]
Epoch 4 | KGC loss: 3.499366, DiffHEG loss 48.094749:   1%|▏         | 5/400 [00:48<1:03:40,  9.67s/it]
Epoch 5 | KGC loss: 2.683562, DiffHEG loss 47.957350:   1%|▏         | 5/400 [00:58<1:03:40,  9.67s/it]
Epoch 5 | KGC loss: 2.683562, DiffHEG loss 47.957350:   2%|▏         | 6/400 [00:58<1:03:31,  9.67s/it]
Epoch 6 | KGC loss: 2.102201, DiffHEG loss 47.908618:   2%|▏         | 6/400 [01:07<1:03:31,  9.67s/it]
Epoch 6 | KGC loss: 2.102201, DiffHEG loss 47.908618:   2%|▏         | 7/400 [01:07<1:03:21,  9.67s/it]
Epoch 7 | KGC loss: 1.694336, DiffHEG loss 47.894363:   2%|▏         | 7/400 [01:17<1:03:21,  9.67s/it]
Epoch 7 | KGC loss: 1.694336, DiffHEG loss 47.894363:   2%|▏         | 8/400 [01:17<1:03:13,  9.68s/it]
Epoch 8 | KGC loss: 1.412342, DiffHEG loss 47.883833:   2%|▏         | 8/400 [01:27<1:03:13,  9.68s/it]
Epoch 8 | KGC loss: 1.412342, DiffHEG loss 47.883833:   2%|▏         | 9/400 [01:27<1:03:04,  9.68s/it]
Epoch 9 | KGC loss: 1.219318, DiffHEG loss 47.882939:   2%|▏         | 9/400 [01:36<1:03:04,  9.68s/it]
Epoch 9 | KGC loss: 1.219318, DiffHEG loss 47.882939:   2%|▎         | 10/400 [01:36<1:02:56,  9.68s/it]
Epoch 10 | KGC loss: 1.063562, DiffHEG loss 47.890450:   2%|▎         | 10/400 [01:46<1:02:56,  9.68s/it]
Epoch 10 | KGC loss: 1.063562, DiffHEG loss 47.890450:   3%|▎         | 11/400 [01:46<1:02:48,  9.69s/it]
Epoch 11 | KGC loss: 0.938194, DiffHEG loss 47.881376:   3%|▎         | 11/400 [01:56<1:02:48,  9.69s/it]
Epoch 11 | KGC loss: 0.938194, DiffHEG loss 47.881376:   3%|▎         | 12/400 [01:56<1:02:42,  9.70s/it]
Epoch 12 | KGC loss: 0.866433, DiffHEG loss 47.885438:   3%|▎         | 12/400 [02:06<1:02:42,  9.70s/it]
Epoch 12 | KGC loss: 0.866433, DiffHEG loss 47.885438:   3%|▎         | 13/400 [02:06<1:02:33,  9.70s/it]
Epoch 13 | KGC loss: 0.784912, DiffHEG loss 47.892959:   3%|▎         | 13/400 [02:15<1:02:33,  9.70s/it]
Epoch 13 | KGC loss: 0.784912, DiffHEG loss 47.892959:   4%|▎         | 14/400 [02:15<1:02:25,  9.70s/it]
Epoch 14 | KGC loss: 0.722009, DiffHEG loss 47.886494:   4%|▎         | 14/400 [02:25<1:02:25,  9.70s/it]
Epoch 14 | KGC loss: 0.722009, DiffHEG loss 47.886494:   4%|▍         | 15/400 [02:25<1:02:14,  9.70s/it]
Epoch 15 | KGC loss: 0.675318, DiffHEG loss 47.884310:   4%|▍         | 15/400 [02:35<1:02:14,  9.70s/it]
Epoch 15 | KGC loss: 0.675318, DiffHEG loss 47.884310:   4%|▍         | 16/400 [02:35<1:02:05,  9.70s/it]
Epoch 16 | KGC loss: 0.638829, DiffHEG loss 47.890253:   4%|▍         | 16/400 [02:44<1:02:05,  9.70s/it]
Epoch 16 | KGC loss: 0.638829, DiffHEG loss 47.890253:   4%|▍         | 17/400 [02:44<1:01:55,  9.70s/it]
Epoch 17 | KGC loss: 0.604726, DiffHEG loss 47.885268:   4%|▍         | 17/400 [02:54<1:01:55,  9.70s/it]
Epoch 17 | KGC loss: 0.604726, DiffHEG loss 47.885268:   4%|▍         | 18/400 [02:54<1:01:45,  9.70s/it]
Epoch 18 | KGC loss: 0.586673, DiffHEG loss 47.882175:   4%|▍         | 18/400 [03:04<1:01:45,  9.70s/it]
Epoch 18 | KGC loss: 0.586673, DiffHEG loss 47.882175:   5%|▍         | 19/400 [03:04<1:01:38,  9.71s/it]
Epoch 19 | KGC loss: 0.554466, DiffHEG loss 47.888089:   5%|▍         | 19/400 [03:13<1:01:38,  9.71s/it]
Epoch 19 | KGC loss: 0.554466, DiffHEG loss 47.888089:   5%|▌         | 20/400 [03:13<1:01:26,  9.70s/it]
Epoch 20 | KGC loss: 0.530682, DiffHEG loss 47.888265:   5%|▌         | 20/400 [03:23<1:01:26,  9.70s/it]
Epoch 20 | KGC loss: 0.530682, DiffHEG loss 47.888265:   5%|▌         | 21/400 [03:23<1:01:15,  9.70s/it]
Epoch 21 | KGC loss: 0.530447, DiffHEG loss 47.886583:   5%|▌         | 21/400 [03:33<1:01:15,  9.70s/it]
Epoch 21 | KGC loss: 0.530447, DiffHEG loss 47.886583:   6%|▌         | 22/400 [03:33<1:01:06,  9.70s/it]
Epoch 22 | KGC loss: 0.512771, DiffHEG loss 47.893234:   6%|▌         | 22/400 [03:43<1:01:06,  9.70s/it]
Epoch 22 | KGC loss: 0.512771, DiffHEG loss 47.893234:   6%|▌         | 23/400 [03:43<1:00:57,  9.70s/it]
Epoch 23 | KGC loss: 0.499900, DiffHEG loss 47.891908:   6%|▌         | 23/400 [03:52<1:00:57,  9.70s/it]
Epoch 23 | KGC loss: 0.499900, DiffHEG loss 47.891908:   6%|▌         | 24/400 [03:52<1:00:47,  9.70s/it]
Epoch 24 | KGC loss: 0.481765, DiffHEG loss 47.895519:   6%|▌         | 24/400 [04:02<1:00:47,  9.70s/it]
Epoch 24 | KGC loss: 0.481765, DiffHEG loss 47.895519:   6%|▋         | 25/400 [04:02<1:00:38,  9.70s/it]
Epoch 25 | KGC loss: 0.470882, DiffHEG loss 47.900697:   6%|▋         | 25/400 [04:12<1:00:38,  9.70s/it]
Epoch 25 | KGC loss: 0.470882, DiffHEG loss 47.900697:   6%|▋         | 26/400 [04:12<1:00:28,  9.70s/it]
Epoch 26 | KGC loss: 0.467894, DiffHEG loss 47.897986:   6%|▋         | 26/400 [04:21<1:00:28,  9.70s/it]
Epoch 26 | KGC loss: 0.467894, DiffHEG loss 47.897986:   7%|▋         | 27/400 [04:21<1:00:16,  9.70s/it]
Epoch 27 | KGC loss: 0.458850, DiffHEG loss 47.891297:   7%|▋         | 27/400 [04:31<1:00:16,  9.70s/it]
Epoch 27 | KGC loss: 0.458850, DiffHEG loss 47.891297:   7%|▋         | 28/400 [04:31<1:00:07,  9.70s/it]
Epoch 28 | KGC loss: 0.448396, DiffHEG loss 47.894451:   7%|▋         | 28/400 [04:41<1:00:07,  9.70s/it]
Epoch 28 | KGC loss: 0.448396, DiffHEG loss 47.894451:   7%|▋         | 29/400 [04:41<59:57,  9.70s/it]  
Epoch 29 | KGC loss: 0.441459, DiffHEG loss 47.917666:   7%|▋         | 29/400 [04:50<59:57,  9.70s/it]
Epoch 29 | KGC loss: 0.441459, DiffHEG loss 47.917666:   8%|▊         | 30/400 [04:50<59:48,  9.70s/it]
Epoch 30 | KGC loss: 0.439751, DiffHEG loss 47.906178:   8%|▊         | 30/400 [05:00<59:48,  9.70s/it]
Epoch 30 | KGC loss: 0.439751, DiffHEG loss 47.906178:   8%|▊         | 31/400 [05:00<59:38,  9.70s/it]
Epoch 31 | KGC loss: 0.436114, DiffHEG loss 47.904803:   8%|▊         | 31/400 [05:10<59:38,  9.70s/it]
Epoch 31 | KGC loss: 0.436114, DiffHEG loss 47.904803:   8%|▊         | 32/400 [05:10<59:30,  9.70s/it]
Epoch 32 | KGC loss: 0.425684, DiffHEG loss 47.897758:   8%|▊         | 32/400 [05:20<59:30,  9.70s/it]
Epoch 32 | KGC loss: 0.425684, DiffHEG loss 47.897758:   8%|▊         | 33/400 [05:20<59:19,  9.70s/it]
Epoch 33 | KGC loss: 0.424861, DiffHEG loss 47.899247:   8%|▊         | 33/400 [05:29<59:19,  9.70s/it]
Epoch 33 | KGC loss: 0.424861, DiffHEG loss 47.899247:   8%|▊         | 34/400 [05:29<59:09,  9.70s/it]
Epoch 34 | KGC loss: 0.421591, DiffHEG loss 47.897978:   8%|▊         | 34/400 [05:39<59:09,  9.70s/it]
Epoch 34 | KGC loss: 0.421591, DiffHEG loss 47.897978:   9%|▉         | 35/400 [05:39<58:59,  9.70s/it]
Epoch 35 | KGC loss: 0.415041, DiffHEG loss 47.900020:   9%|▉         | 35/400 [05:49<58:59,  9.70s/it]
Epoch 35 | KGC loss: 0.415041, DiffHEG loss 47.900020:   9%|▉         | 36/400 [05:49<58:50,  9.70s/it]
Epoch 36 | KGC loss: 0.420283, DiffHEG loss 47.893037:   9%|▉         | 36/400 [05:58<58:50,  9.70s/it]
Epoch 36 | KGC loss: 0.420283, DiffHEG loss 47.893037:   9%|▉         | 37/400 [05:58<58:39,  9.69s/it]
Epoch 37 | KGC loss: 0.416891, DiffHEG loss 47.893818:   9%|▉         | 37/400 [06:08<58:39,  9.69s/it]
Epoch 37 | KGC loss: 0.416891, DiffHEG loss 47.893818:  10%|▉         | 38/400 [06:08<58:30,  9.70s/it]
Epoch 38 | KGC loss: 0.411122, DiffHEG loss 47.898258:  10%|▉         | 38/400 [06:18<58:30,  9.70s/it]
Epoch 38 | KGC loss: 0.411122, DiffHEG loss 47.898258:  10%|▉         | 39/400 [06:18<58:22,  9.70s/it]
Epoch 39 | KGC loss: 0.405540, DiffHEG loss 47.898983:  10%|▉         | 39/400 [06:27<58:22,  9.70s/it]
Epoch 39 | KGC loss: 0.405540, DiffHEG loss 47.898983:  10%|█         | 40/400 [06:27<58:13,  9.70s/it]
Epoch 40 | KGC loss: 0.412613, DiffHEG loss 47.896222:  10%|█         | 40/400 [06:37<58:13,  9.70s/it]
Epoch 40 | KGC loss: 0.412613, DiffHEG loss 47.896222:  10%|█         | 41/400 [06:37<58:02,  9.70s/it]
Epoch 41 | KGC loss: 0.413726, DiffHEG loss 47.894886:  10%|█         | 41/400 [06:47<58:02,  9.70s/it]
Epoch 41 | KGC loss: 0.413726, DiffHEG loss 47.894886:  10%|█         | 42/400 [06:47<57:53,  9.70s/it]
Epoch 42 | KGC loss: 0.412646, DiffHEG loss 47.903481:  10%|█         | 42/400 [06:57<57:53,  9.70s/it]
Epoch 42 | KGC loss: 0.412646, DiffHEG loss 47.903481:  11%|█         | 43/400 [06:57<57:42,  9.70s/it]
Epoch 43 | KGC loss: 0.417904, DiffHEG loss 47.891978:  11%|█         | 43/400 [07:06<57:42,  9.70s/it]
Epoch 43 | KGC loss: 0.417904, DiffHEG loss 47.891978:  11%|█         | 44/400 [07:06<57:32,  9.70s/it]
Epoch 44 | KGC loss: 0.409281, DiffHEG loss 47.891121:  11%|█         | 44/400 [07:16<57:32,  9.70s/it]
Epoch 44 | KGC loss: 0.409281, DiffHEG loss 47.891121:  11%|█▏        | 45/400 [07:16<57:22,  9.70s/it]
Epoch 45 | KGC loss: 0.404909, DiffHEG loss 47.904293:  11%|█▏        | 45/400 [07:26<57:22,  9.70s/it]
Epoch 45 | KGC loss: 0.404909, DiffHEG loss 47.904293:  12%|█▏        | 46/400 [07:26<57:13,  9.70s/it]
Epoch 46 | KGC loss: 0.403016, DiffHEG loss 47.892283:  12%|█▏        | 46/400 [07:35<57:13,  9.70s/it]
Epoch 46 | KGC loss: 0.403016, DiffHEG loss 47.892283:  12%|█▏        | 47/400 [07:35<57:04,  9.70s/it]
Epoch 47 | KGC loss: 0.398466, DiffHEG loss 47.898149:  12%|█▏        | 47/400 [07:45<57:04,  9.70s/it]
Epoch 47 | KGC loss: 0.398466, DiffHEG loss 47.898149:  12%|█▏        | 48/400 [07:45<56:58,  9.71s/it]
Epoch 48 | KGC loss: 0.410596, DiffHEG loss 47.884383:  12%|█▏        | 48/400 [07:55<56:58,  9.71s/it]
Epoch 48 | KGC loss: 0.410596, DiffHEG loss 47.884383:  12%|█▏        | 49/400 [07:55<56:49,  9.71s/it]
