Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=2 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/MKG-Y_low_degree_text30_seed2.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: db45462ffcb79e45f0cd6d726e223d8765a516db14262f9e3e4d286981497287
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]Active modalities | phase=train | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text
Retrieval missing-text debug | phase=NA | role=NA | batch_entity_count=2000 | topk=5 | pool_size=512/8621 | relation_avg_pool=NA | fallback_ratio=0.0000 | agg_mean_norm=1.049580 | source=global_text_pool
Active modalities | phase=train_negative | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text

Epoch 0 | KGC loss: 326.697611, DiffHEG loss 101.637999:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 326.697611, DiffHEG loss 101.637999:   0%|          | 1/400 [00:09<1:06:18,  9.97s/it]
Epoch 1 | KGC loss: 14.833203, DiffHEG loss 57.975424:   0%|          | 1/400 [00:19<1:06:18,  9.97s/it]  
Epoch 1 | KGC loss: 14.833203, DiffHEG loss 57.975424:   0%|          | 2/400 [00:19<1:04:58,  9.80s/it]
Epoch 2 | KGC loss: 6.605802, DiffHEG loss 50.579542:   0%|          | 2/400 [00:29<1:04:58,  9.80s/it] 
Epoch 2 | KGC loss: 6.605802, DiffHEG loss 50.579542:   1%|          | 3/400 [00:29<1:04:25,  9.74s/it]
Epoch 3 | KGC loss: 4.876262, DiffHEG loss 49.245108:   1%|          | 3/400 [00:38<1:04:25,  9.74s/it]
Epoch 3 | KGC loss: 4.876262, DiffHEG loss 49.245108:   1%|          | 4/400 [00:38<1:04:05,  9.71s/it]
Epoch 4 | KGC loss: 3.621430, DiffHEG loss 48.344221:   1%|          | 4/400 [00:48<1:04:05,  9.71s/it]
Epoch 4 | KGC loss: 3.621430, DiffHEG loss 48.344221:   1%|▏         | 5/400 [00:48<1:03:51,  9.70s/it]
Epoch 5 | KGC loss: 2.801929, DiffHEG loss 48.036719:   1%|▏         | 5/400 [00:58<1:03:51,  9.70s/it]
Epoch 5 | KGC loss: 2.801929, DiffHEG loss 48.036719:   2%|▏         | 6/400 [00:58<1:03:41,  9.70s/it]
Epoch 6 | KGC loss: 2.193525, DiffHEG loss 47.940705:   2%|▏         | 6/400 [01:08<1:03:41,  9.70s/it]
Epoch 6 | KGC loss: 2.193525, DiffHEG loss 47.940705:   2%|▏         | 7/400 [01:08<1:03:30,  9.69s/it]
Epoch 7 | KGC loss: 1.765070, DiffHEG loss 47.914266:   2%|▏         | 7/400 [01:17<1:03:30,  9.69s/it]
Epoch 7 | KGC loss: 1.765070, DiffHEG loss 47.914266:   2%|▏         | 8/400 [01:17<1:03:21,  9.70s/it]
Epoch 8 | KGC loss: 1.464026, DiffHEG loss 47.892728:   2%|▏         | 8/400 [01:27<1:03:21,  9.70s/it]
Epoch 8 | KGC loss: 1.464026, DiffHEG loss 47.892728:   2%|▏         | 9/400 [01:27<1:03:08,  9.69s/it]
Epoch 9 | KGC loss: 1.267536, DiffHEG loss 47.882497:   2%|▏         | 9/400 [01:37<1:03:08,  9.69s/it]
Epoch 9 | KGC loss: 1.267536, DiffHEG loss 47.882497:   2%|▎         | 10/400 [01:37<1:02:59,  9.69s/it]
Epoch 10 | KGC loss: 1.099274, DiffHEG loss 47.880202:   2%|▎         | 10/400 [01:46<1:02:59,  9.69s/it]
Epoch 10 | KGC loss: 1.099274, DiffHEG loss 47.880202:   3%|▎         | 11/400 [01:46<1:02:49,  9.69s/it]
Epoch 11 | KGC loss: 0.971669, DiffHEG loss 47.883638:   3%|▎         | 11/400 [01:56<1:02:49,  9.69s/it]
Epoch 11 | KGC loss: 0.971669, DiffHEG loss 47.883638:   3%|▎         | 12/400 [01:56<1:02:41,  9.69s/it]
Epoch 12 | KGC loss: 0.900325, DiffHEG loss 48.648575:   3%|▎         | 12/400 [02:06<1:02:41,  9.69s/it]
Epoch 12 | KGC loss: 0.900325, DiffHEG loss 48.648575:   3%|▎         | 13/400 [02:06<1:02:32,  9.70s/it]
Epoch 13 | KGC loss: 0.803222, DiffHEG loss 48.318490:   3%|▎         | 13/400 [02:15<1:02:32,  9.70s/it]
Epoch 13 | KGC loss: 0.803222, DiffHEG loss 48.318490:   4%|▎         | 14/400 [02:15<1:02:22,  9.70s/it]
Epoch 14 | KGC loss: 0.736895, DiffHEG loss 47.977664:   4%|▎         | 14/400 [02:25<1:02:22,  9.70s/it]
Epoch 14 | KGC loss: 0.736895, DiffHEG loss 47.977664:   4%|▍         | 15/400 [02:25<1:02:13,  9.70s/it]
Epoch 15 | KGC loss: 0.687174, DiffHEG loss 47.918238:   4%|▍         | 15/400 [02:35<1:02:13,  9.70s/it]
Epoch 15 | KGC loss: 0.687174, DiffHEG loss 47.918238:   4%|▍         | 16/400 [02:35<1:02:07,  9.71s/it]
Epoch 16 | KGC loss: 0.650675, DiffHEG loss 47.895422:   4%|▍         | 16/400 [02:45<1:02:07,  9.71s/it]
Epoch 16 | KGC loss: 0.650675, DiffHEG loss 47.895422:   4%|▍         | 17/400 [02:45<1:01:57,  9.71s/it]
Epoch 17 | KGC loss: 0.615383, DiffHEG loss 47.891567:   4%|▍         | 17/400 [02:54<1:01:57,  9.71s/it]
Epoch 17 | KGC loss: 0.615383, DiffHEG loss 47.891567:   4%|▍         | 18/400 [02:54<1:01:45,  9.70s/it]
Epoch 18 | KGC loss: 0.599927, DiffHEG loss 47.906626:   4%|▍         | 18/400 [03:04<1:01:45,  9.70s/it]
Epoch 18 | KGC loss: 0.599927, DiffHEG loss 47.906626:   5%|▍         | 19/400 [03:04<1:01:37,  9.70s/it]
Epoch 19 | KGC loss: 0.564071, DiffHEG loss 47.909152:   5%|▍         | 19/400 [03:14<1:01:37,  9.70s/it]
Epoch 19 | KGC loss: 0.564071, DiffHEG loss 47.909152:   5%|▌         | 20/400 [03:14<1:01:27,  9.70s/it]
Epoch 20 | KGC loss: 0.537832, DiffHEG loss 47.924841:   5%|▌         | 20/400 [03:23<1:01:27,  9.70s/it]
Epoch 20 | KGC loss: 0.537832, DiffHEG loss 47.924841:   5%|▌         | 21/400 [03:23<1:01:15,  9.70s/it]
Epoch 21 | KGC loss: 0.534825, DiffHEG loss 47.893789:   5%|▌         | 21/400 [03:33<1:01:15,  9.70s/it]
Epoch 21 | KGC loss: 0.534825, DiffHEG loss 47.893789:   6%|▌         | 22/400 [03:33<1:01:06,  9.70s/it]
Epoch 22 | KGC loss: 0.515055, DiffHEG loss 47.888203:   6%|▌         | 22/400 [03:43<1:01:06,  9.70s/it]
Epoch 22 | KGC loss: 0.515055, DiffHEG loss 47.888203:   6%|▌         | 23/400 [03:43<1:00:58,  9.70s/it]
Epoch 23 | KGC loss: 0.503832, DiffHEG loss 47.895648:   6%|▌         | 23/400 [03:52<1:00:58,  9.70s/it]
Epoch 23 | KGC loss: 0.503832, DiffHEG loss 47.895648:   6%|▌         | 24/400 [03:52<1:00:47,  9.70s/it]
Epoch 24 | KGC loss: 0.486054, DiffHEG loss 47.926477:   6%|▌         | 24/400 [04:02<1:00:47,  9.70s/it]
Epoch 24 | KGC loss: 0.486054, DiffHEG loss 47.926477:   6%|▋         | 25/400 [04:02<1:00:37,  9.70s/it]
Epoch 25 | KGC loss: 0.476535, DiffHEG loss 47.925905:   6%|▋         | 25/400 [04:12<1:00:37,  9.70s/it]
Epoch 25 | KGC loss: 0.476535, DiffHEG loss 47.925905:   6%|▋         | 26/400 [04:12<1:00:28,  9.70s/it]
Epoch 26 | KGC loss: 0.469608, DiffHEG loss 47.899195:   6%|▋         | 26/400 [04:22<1:00:28,  9.70s/it]
Epoch 26 | KGC loss: 0.469608, DiffHEG loss 47.899195:   7%|▋         | 27/400 [04:22<1:00:18,  9.70s/it]
Epoch 27 | KGC loss: 0.455089, DiffHEG loss 47.895735:   7%|▋         | 27/400 [04:31<1:00:18,  9.70s/it]
Epoch 27 | KGC loss: 0.455089, DiffHEG loss 47.895735:   7%|▋         | 28/400 [04:31<1:00:06,  9.70s/it]
Epoch 28 | KGC loss: 0.452181, DiffHEG loss 47.889063:   7%|▋         | 28/400 [04:41<1:00:06,  9.70s/it]
Epoch 28 | KGC loss: 0.452181, DiffHEG loss 47.889063:   7%|▋         | 29/400 [04:41<59:59,  9.70s/it]  
Epoch 29 | KGC loss: 0.441546, DiffHEG loss 47.891888:   7%|▋         | 29/400 [04:51<59:59,  9.70s/it]
Epoch 29 | KGC loss: 0.441546, DiffHEG loss 47.891888:   8%|▊         | 30/400 [04:51<59:50,  9.70s/it]
Epoch 30 | KGC loss: 0.442785, DiffHEG loss 47.900819:   8%|▊         | 30/400 [05:00<59:50,  9.70s/it]
Epoch 30 | KGC loss: 0.442785, DiffHEG loss 47.900819:   8%|▊         | 31/400 [05:00<59:42,  9.71s/it]
Epoch 31 | KGC loss: 0.437057, DiffHEG loss 47.898939:   8%|▊         | 31/400 [05:10<59:42,  9.71s/it]
Epoch 31 | KGC loss: 0.437057, DiffHEG loss 47.898939:   8%|▊         | 32/400 [05:10<59:35,  9.72s/it]
Epoch 32 | KGC loss: 0.427004, DiffHEG loss 47.894514:   8%|▊         | 32/400 [05:20<59:35,  9.72s/it]
Epoch 32 | KGC loss: 0.427004, DiffHEG loss 47.894514:   8%|▊         | 33/400 [05:20<59:27,  9.72s/it]
Epoch 33 | KGC loss: 0.426140, DiffHEG loss 47.897086:   8%|▊         | 33/400 [05:30<59:27,  9.72s/it]
Epoch 33 | KGC loss: 0.426140, DiffHEG loss 47.897086:   8%|▊         | 34/400 [05:30<59:17,  9.72s/it]
Epoch 34 | KGC loss: 0.423920, DiffHEG loss 47.920626:   8%|▊         | 34/400 [05:39<59:17,  9.72s/it]
Epoch 34 | KGC loss: 0.423920, DiffHEG loss 47.920626:   9%|▉         | 35/400 [05:39<59:05,  9.71s/it]
Epoch 35 | KGC loss: 0.413936, DiffHEG loss 47.923928:   9%|▉         | 35/400 [05:49<59:05,  9.71s/it]
Epoch 35 | KGC loss: 0.413936, DiffHEG loss 47.923928:   9%|▉         | 36/400 [05:49<58:55,  9.71s/it]
Epoch 36 | KGC loss: 0.418769, DiffHEG loss 47.896152:   9%|▉         | 36/400 [05:59<58:55,  9.71s/it]
Epoch 36 | KGC loss: 0.418769, DiffHEG loss 47.896152:   9%|▉         | 37/400 [05:59<58:44,  9.71s/it]
Epoch 37 | KGC loss: 0.414533, DiffHEG loss 47.894558:   9%|▉         | 37/400 [06:08<58:44,  9.71s/it]
Epoch 37 | KGC loss: 0.414533, DiffHEG loss 47.894558:  10%|▉         | 38/400 [06:08<58:34,  9.71s/it]
Epoch 38 | KGC loss: 0.405761, DiffHEG loss 47.889235:  10%|▉         | 38/400 [06:18<58:34,  9.71s/it]
Epoch 38 | KGC loss: 0.405761, DiffHEG loss 47.889235:  10%|▉         | 39/400 [06:18<58:25,  9.71s/it]
Epoch 39 | KGC loss: 0.408030, DiffHEG loss 47.891752:  10%|▉         | 39/400 [06:28<58:25,  9.71s/it]
Epoch 39 | KGC loss: 0.408030, DiffHEG loss 47.891752:  10%|█         | 40/400 [06:28<58:18,  9.72s/it]
Epoch 40 | KGC loss: 0.409607, DiffHEG loss 48.220744:  10%|█         | 40/400 [06:38<58:18,  9.72s/it]
Epoch 40 | KGC loss: 0.409607, DiffHEG loss 48.220744:  10%|█         | 41/400 [06:38<58:05,  9.71s/it]
Epoch 41 | KGC loss: 0.413895, DiffHEG loss 47.985689:  10%|█         | 41/400 [06:47<58:05,  9.71s/it]
Epoch 41 | KGC loss: 0.413895, DiffHEG loss 47.985689:  10%|█         | 42/400 [06:47<57:55,  9.71s/it]
Epoch 42 | KGC loss: 0.412124, DiffHEG loss 47.919780:  10%|█         | 42/400 [06:57<57:55,  9.71s/it]
Epoch 42 | KGC loss: 0.412124, DiffHEG loss 47.919780:  11%|█         | 43/400 [06:57<57:45,  9.71s/it]
Epoch 43 | KGC loss: 0.409021, DiffHEG loss 47.902106:  11%|█         | 43/400 [07:07<57:45,  9.71s/it]
Epoch 43 | KGC loss: 0.409021, DiffHEG loss 47.902106:  11%|█         | 44/400 [07:07<57:33,  9.70s/it]
Epoch 44 | KGC loss: 0.407649, DiffHEG loss 47.906331:  11%|█         | 44/400 [07:16<57:33,  9.70s/it]
Epoch 44 | KGC loss: 0.407649, DiffHEG loss 47.906331:  11%|█▏        | 45/400 [07:16<57:21,  9.69s/it]
Epoch 45 | KGC loss: 0.404147, DiffHEG loss 47.903817:  11%|█▏        | 45/400 [07:26<57:21,  9.69s/it]
Epoch 45 | KGC loss: 0.404147, DiffHEG loss 47.903817:  12%|█▏        | 46/400 [07:26<57:13,  9.70s/it]
Epoch 46 | KGC loss: 0.421198, DiffHEG loss 47.894626:  12%|█▏        | 46/400 [07:36<57:13,  9.70s/it]
Epoch 46 | KGC loss: 0.421198, DiffHEG loss 47.894626:  12%|█▏        | 47/400 [07:36<57:00,  9.69s/it]
Epoch 47 | KGC loss: 0.425888, DiffHEG loss 47.889175:  12%|█▏        | 47/400 [07:45<57:00,  9.69s/it]
Epoch 47 | KGC loss: 0.425888, DiffHEG loss 47.889175:  12%|█▏        | 48/400 [07:45<56:54,  9.70s/it]
Epoch 48 | KGC loss: 0.411937, DiffHEG loss 47.891230:  12%|█▏        | 48/400 [07:55<56:54,  9.70s/it]
Epoch 48 | KGC loss: 0.411937, DiffHEG loss 47.891230:  12%|█▏        | 49/400 [07:55<56:43,  9.70s/it]
