Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=1 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/MKG-Y_low_degree_text30_seed1.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=random_text_pool | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: c913edd722b7eb42d8cdbc248b7c16469a13a91c24ebe3ed19e2d6dd8d9b330b
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]Active modalities | phase=train | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text
Retrieval missing-text debug | phase=NA | role=NA | batch_entity_count=2000 | topk=5 | pool_size=512/8621 | relation_avg_pool=NA | fallback_ratio=0.0000 | agg_mean_norm=1.062678 | source=global_text_pool
Active modalities | phase=train_negative | text_branch_enabled=True | modality_count=3 | modalities=structural,visual,text

Epoch 0 | KGC loss: 438.256618, DiffHEG loss 84.726161:   0%|          | 0/400 [00:10<?, ?it/s]
Epoch 0 | KGC loss: 438.256618, DiffHEG loss 84.726161:   0%|          | 1/400 [00:10<1:06:48, 10.05s/it]
Epoch 1 | KGC loss: 15.821206, DiffHEG loss 56.179506:   0%|          | 1/400 [00:19<1:06:48, 10.05s/it] 
Epoch 1 | KGC loss: 15.821206, DiffHEG loss 56.179506:   0%|          | 2/400 [00:19<1:05:26,  9.87s/it]
Epoch 2 | KGC loss: 7.193917, DiffHEG loss 49.739512:   0%|          | 2/400 [00:29<1:05:26,  9.87s/it] 
Epoch 2 | KGC loss: 7.193917, DiffHEG loss 49.739512:   1%|          | 3/400 [00:29<1:04:55,  9.81s/it]
Epoch 3 | KGC loss: 5.236915, DiffHEG loss 48.396996:   1%|          | 3/400 [00:39<1:04:55,  9.81s/it]
Epoch 3 | KGC loss: 5.236915, DiffHEG loss 48.396996:   1%|          | 4/400 [00:39<1:04:34,  9.78s/it]
Epoch 4 | KGC loss: 3.759840, DiffHEG loss 48.048538:   1%|          | 4/400 [00:49<1:04:34,  9.78s/it]
Epoch 4 | KGC loss: 3.759840, DiffHEG loss 48.048538:   1%|▏         | 5/400 [00:49<1:04:21,  9.78s/it]
Epoch 5 | KGC loss: 2.817704, DiffHEG loss 47.944957:   1%|▏         | 5/400 [00:58<1:04:21,  9.78s/it]
Epoch 5 | KGC loss: 2.817704, DiffHEG loss 47.944957:   2%|▏         | 6/400 [00:58<1:04:10,  9.77s/it]
Epoch 6 | KGC loss: 2.150835, DiffHEG loss 48.707310:   2%|▏         | 6/400 [01:08<1:04:10,  9.77s/it]
Epoch 6 | KGC loss: 2.150835, DiffHEG loss 48.707310:   2%|▏         | 7/400 [01:08<1:03:59,  9.77s/it]
Epoch 7 | KGC loss: 1.710996, DiffHEG loss 48.092862:   2%|▏         | 7/400 [01:18<1:03:59,  9.77s/it]
Epoch 7 | KGC loss: 1.710996, DiffHEG loss 48.092862:   2%|▏         | 8/400 [01:18<1:03:52,  9.78s/it]
Epoch 8 | KGC loss: 1.411308, DiffHEG loss 47.936526:   2%|▏         | 8/400 [01:28<1:03:52,  9.78s/it]
Epoch 8 | KGC loss: 1.411308, DiffHEG loss 47.936526:   2%|▏         | 9/400 [01:28<1:03:40,  9.77s/it]
Epoch 9 | KGC loss: 1.200784, DiffHEG loss 47.899842:   2%|▏         | 9/400 [01:37<1:03:40,  9.77s/it]
Epoch 9 | KGC loss: 1.200784, DiffHEG loss 47.899842:   2%|▎         | 10/400 [01:37<1:03:30,  9.77s/it]
Epoch 10 | KGC loss: 1.044484, DiffHEG loss 47.888930:   2%|▎         | 10/400 [01:47<1:03:30,  9.77s/it]
Epoch 10 | KGC loss: 1.044484, DiffHEG loss 47.888930:   3%|▎         | 11/400 [01:47<1:03:22,  9.78s/it]
Epoch 11 | KGC loss: 0.926576, DiffHEG loss 47.884634:   3%|▎         | 11/400 [01:57<1:03:22,  9.78s/it]
Epoch 11 | KGC loss: 0.926576, DiffHEG loss 47.884634:   3%|▎         | 12/400 [01:57<1:03:10,  9.77s/it]
Epoch 12 | KGC loss: 0.849716, DiffHEG loss 47.883581:   3%|▎         | 12/400 [02:07<1:03:10,  9.77s/it]
Epoch 12 | KGC loss: 0.849716, DiffHEG loss 47.883581:   3%|▎         | 13/400 [02:07<1:03:00,  9.77s/it]
Epoch 13 | KGC loss: 0.769754, DiffHEG loss 47.884596:   3%|▎         | 13/400 [02:16<1:03:00,  9.77s/it]
Epoch 13 | KGC loss: 0.769754, DiffHEG loss 47.884596:   4%|▎         | 14/400 [02:16<1:02:47,  9.76s/it]
Epoch 14 | KGC loss: 0.707838, DiffHEG loss 47.876967:   4%|▎         | 14/400 [02:26<1:02:47,  9.76s/it]
Epoch 14 | KGC loss: 0.707838, DiffHEG loss 47.876967:   4%|▍         | 15/400 [02:26<1:02:41,  9.77s/it]
Epoch 15 | KGC loss: 0.661866, DiffHEG loss 47.883259:   4%|▍         | 15/400 [02:36<1:02:41,  9.77s/it]
Epoch 15 | KGC loss: 0.661866, DiffHEG loss 47.883259:   4%|▍         | 16/400 [02:36<1:02:35,  9.78s/it]
Epoch 16 | KGC loss: 0.624038, DiffHEG loss 47.881456:   4%|▍         | 16/400 [02:46<1:02:35,  9.78s/it]
Epoch 16 | KGC loss: 0.624038, DiffHEG loss 47.881456:   4%|▍         | 17/400 [02:46<1:02:24,  9.78s/it]
Epoch 17 | KGC loss: 0.591234, DiffHEG loss 47.891295:   4%|▍         | 17/400 [02:56<1:02:24,  9.78s/it]
Epoch 17 | KGC loss: 0.591234, DiffHEG loss 47.891295:   4%|▍         | 18/400 [02:56<1:02:11,  9.77s/it]
Epoch 18 | KGC loss: 0.573236, DiffHEG loss 47.889135:   4%|▍         | 18/400 [03:05<1:02:11,  9.77s/it]
Epoch 18 | KGC loss: 0.573236, DiffHEG loss 47.889135:   5%|▍         | 19/400 [03:05<1:02:05,  9.78s/it]
Epoch 19 | KGC loss: 0.545033, DiffHEG loss 47.884561:   5%|▍         | 19/400 [03:15<1:02:05,  9.78s/it]
Epoch 19 | KGC loss: 0.545033, DiffHEG loss 47.884561:   5%|▌         | 20/400 [03:15<1:01:53,  9.77s/it]
Epoch 20 | KGC loss: 0.522697, DiffHEG loss 47.883892:   5%|▌         | 20/400 [03:25<1:01:53,  9.77s/it]
Epoch 20 | KGC loss: 0.522697, DiffHEG loss 47.883892:   5%|▌         | 21/400 [03:25<1:01:42,  9.77s/it]
Epoch 21 | KGC loss: 0.512131, DiffHEG loss 47.883281:   5%|▌         | 21/400 [03:35<1:01:42,  9.77s/it]
Epoch 21 | KGC loss: 0.512131, DiffHEG loss 47.883281:   6%|▌         | 22/400 [03:35<1:01:35,  9.78s/it]
Epoch 22 | KGC loss: 0.493840, DiffHEG loss 47.878926:   6%|▌         | 22/400 [03:44<1:01:35,  9.78s/it]
Epoch 22 | KGC loss: 0.493840, DiffHEG loss 47.878926:   6%|▌         | 23/400 [03:44<1:01:26,  9.78s/it]
Epoch 23 | KGC loss: 0.480129, DiffHEG loss 47.884383:   6%|▌         | 23/400 [03:54<1:01:26,  9.78s/it]
Epoch 23 | KGC loss: 0.480129, DiffHEG loss 47.884383:   6%|▌         | 24/400 [03:54<1:01:13,  9.77s/it]
Epoch 24 | KGC loss: 0.465525, DiffHEG loss 47.889775:   6%|▌         | 24/400 [04:04<1:01:13,  9.77s/it]
Epoch 24 | KGC loss: 0.465525, DiffHEG loss 47.889775:   6%|▋         | 25/400 [04:04<1:01:05,  9.77s/it]
Epoch 25 | KGC loss: 0.456062, DiffHEG loss 47.885524:   6%|▋         | 25/400 [04:14<1:01:05,  9.77s/it]
Epoch 25 | KGC loss: 0.456062, DiffHEG loss 47.885524:   6%|▋         | 26/400 [04:14<1:00:55,  9.78s/it]
Epoch 26 | KGC loss: 0.446316, DiffHEG loss 47.900124:   6%|▋         | 26/400 [04:24<1:00:55,  9.78s/it]
Epoch 26 | KGC loss: 0.446316, DiffHEG loss 47.900124:   7%|▋         | 27/400 [04:24<1:00:43,  9.77s/it]
Epoch 27 | KGC loss: 0.435613, DiffHEG loss 47.908906:   7%|▋         | 27/400 [04:33<1:00:43,  9.77s/it]
Epoch 27 | KGC loss: 0.435613, DiffHEG loss 47.908906:   7%|▋         | 28/400 [04:33<1:00:37,  9.78s/it]
Epoch 28 | KGC loss: 0.429493, DiffHEG loss 47.882447:   7%|▋         | 28/400 [04:43<1:00:37,  9.78s/it]
Epoch 28 | KGC loss: 0.429493, DiffHEG loss 47.882447:   7%|▋         | 29/400 [04:43<1:00:26,  9.78s/it]
Epoch 29 | KGC loss: 0.421510, DiffHEG loss 47.880634:   7%|▋         | 29/400 [04:53<1:00:26,  9.78s/it]
Epoch 29 | KGC loss: 0.421510, DiffHEG loss 47.880634:   8%|▊         | 30/400 [04:53<1:00:13,  9.77s/it]
Epoch 30 | KGC loss: 0.418603, DiffHEG loss 47.987581:   8%|▊         | 30/400 [05:03<1:00:13,  9.77s/it]
Epoch 30 | KGC loss: 0.418603, DiffHEG loss 47.987581:   8%|▊         | 31/400 [05:03<1:00:00,  9.76s/it]
Epoch 31 | KGC loss: 0.415042, DiffHEG loss 47.910405:   8%|▊         | 31/400 [05:12<1:00:00,  9.76s/it]
Epoch 31 | KGC loss: 0.415042, DiffHEG loss 47.910405:   8%|▊         | 32/400 [05:12<59:48,  9.75s/it]  
Epoch 32 | KGC loss: 0.406040, DiffHEG loss 47.902687:   8%|▊         | 32/400 [05:22<59:48,  9.75s/it]
Epoch 32 | KGC loss: 0.406040, DiffHEG loss 47.902687:   8%|▊         | 33/400 [05:22<59:37,  9.75s/it]
Epoch 33 | KGC loss: 0.401871, DiffHEG loss 47.888941:   8%|▊         | 33/400 [05:32<59:37,  9.75s/it]
Epoch 33 | KGC loss: 0.401871, DiffHEG loss 47.888941:   8%|▊         | 34/400 [05:32<59:28,  9.75s/it]
Epoch 34 | KGC loss: 0.398642, DiffHEG loss 47.891376:   8%|▊         | 34/400 [05:42<59:28,  9.75s/it]
Epoch 34 | KGC loss: 0.398642, DiffHEG loss 47.891376:   9%|▉         | 35/400 [05:42<59:15,  9.74s/it]
Epoch 35 | KGC loss: 0.392966, DiffHEG loss 47.886594:   9%|▉         | 35/400 [05:51<59:15,  9.74s/it]
Epoch 35 | KGC loss: 0.392966, DiffHEG loss 47.886594:   9%|▉         | 36/400 [05:51<59:05,  9.74s/it]
Epoch 36 | KGC loss: 0.392709, DiffHEG loss 47.887170:   9%|▉         | 36/400 [06:01<59:05,  9.74s/it]
Epoch 36 | KGC loss: 0.392709, DiffHEG loss 47.887170:   9%|▉         | 37/400 [06:01<58:54,  9.74s/it]
Epoch 37 | KGC loss: 0.387321, DiffHEG loss 47.881517:   9%|▉         | 37/400 [06:11<58:54,  9.74s/it]
Epoch 37 | KGC loss: 0.387321, DiffHEG loss 47.881517:  10%|▉         | 38/400 [06:11<58:49,  9.75s/it]
Epoch 38 | KGC loss: 0.381713, DiffHEG loss 47.881906:  10%|▉         | 38/400 [06:21<58:49,  9.75s/it]
Epoch 38 | KGC loss: 0.381713, DiffHEG loss 47.881906:  10%|▉         | 39/400 [06:21<58:37,  9.74s/it]
Epoch 39 | KGC loss: 0.380280, DiffHEG loss 47.878906:  10%|▉         | 39/400 [06:30<58:37,  9.74s/it]
Epoch 39 | KGC loss: 0.380280, DiffHEG loss 47.878906:  10%|█         | 40/400 [06:30<58:26,  9.74s/it]
Epoch 40 | KGC loss: 0.384618, DiffHEG loss 47.876978:  10%|█         | 40/400 [06:40<58:26,  9.74s/it]
Epoch 40 | KGC loss: 0.384618, DiffHEG loss 47.876978:  10%|█         | 41/400 [06:40<58:16,  9.74s/it]
Epoch 41 | KGC loss: 0.389115, DiffHEG loss 47.875182:  10%|█         | 41/400 [06:50<58:16,  9.74s/it]
Epoch 41 | KGC loss: 0.389115, DiffHEG loss 47.875182:  10%|█         | 42/400 [06:50<58:08,  9.75s/it]
Epoch 42 | KGC loss: 0.381333, DiffHEG loss 47.946543:  10%|█         | 42/400 [06:59<58:08,  9.75s/it]
Epoch 42 | KGC loss: 0.381333, DiffHEG loss 47.946543:  11%|█         | 43/400 [06:59<58:00,  9.75s/it]
Epoch 43 | KGC loss: 0.378252, DiffHEG loss 47.986602:  11%|█         | 43/400 [07:09<58:00,  9.75s/it]
Epoch 43 | KGC loss: 0.378252, DiffHEG loss 47.986602:  11%|█         | 44/400 [07:09<57:48,  9.74s/it]
Epoch 44 | KGC loss: 0.375783, DiffHEG loss 47.929845:  11%|█         | 44/400 [07:19<57:48,  9.74s/it]
Epoch 44 | KGC loss: 0.375783, DiffHEG loss 47.929845:  11%|█▏        | 45/400 [07:19<57:38,  9.74s/it]
Epoch 45 | KGC loss: 0.381386, DiffHEG loss 47.899935:  11%|█▏        | 45/400 [07:29<57:38,  9.74s/it]
Epoch 45 | KGC loss: 0.381386, DiffHEG loss 47.899935:  12%|█▏        | 46/400 [07:29<57:27,  9.74s/it]
Epoch 46 | KGC loss: 0.380988, DiffHEG loss 47.892689:  12%|█▏        | 46/400 [07:38<57:27,  9.74s/it]
Epoch 46 | KGC loss: 0.380988, DiffHEG loss 47.892689:  12%|█▏        | 47/400 [07:38<57:18,  9.74s/it]
Epoch 47 | KGC loss: 0.379520, DiffHEG loss 47.887152:  12%|█▏        | 47/400 [07:48<57:18,  9.74s/it]
Epoch 47 | KGC loss: 0.379520, DiffHEG loss 47.887152:  12%|█▏        | 48/400 [07:48<57:10,  9.75s/it]
Epoch 48 | KGC loss: 0.380156, DiffHEG loss 47.880073:  12%|█▏        | 48/400 [07:58<57:10,  9.75s/it]
Epoch 48 | KGC loss: 0.380156, DiffHEG loss 47.880073:  12%|█▏        | 49/400 [07:58<56:59,  9.74s/it]
